dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,198,6.712785816591965,16.40317397601031,10.771406567340245,268.1818181818182,62.54545454545455,3.4065656565656566,6.527777777777778
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,198,6.723364740280387,16.426759013055904,10.758515524813864,268.90909090909093,62.54545454545455,3.4166666666666665,6.517676767676767
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,180,5.001683084604271,20.589689059876953,61.17093940122238,331.2,48.8,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,180,5.001683084604271,20.589689059876953,61.17093940122238,331.2,48.8,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,23.288888888888888
v2v_development,0004,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,23.288888888888888
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889,23.022222222222222
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,180,5.159630450429351,21.181588128600662,57.55697997236889,355.0,52.8,4.197222222222222,23.01388888888889
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,180,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889,23.022222222222222
v2v_development,0004,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,180,5.159630450429351,21.181588128600662,57.55697997236889,355.0,52.8,4.197222222222222,23.01388888888889
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,180,5.154998800864758,21.177913489040694,57.341295484783224,355.6,53.2,4.2,23.011111111111113
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,180,5.154998800864758,21.168568529073692,57.341295484783224,355.6,52.8,4.205555555555556,23.005555555555556
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,180,5.154998800864758,21.177913489040694,57.341295484783224,355.6,53.2,4.2,23.011111111111113
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,180,5.154998800864758,21.168568529073692,57.341295484783224,355.6,52.8,4.205555555555556,23.005555555555556
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,310,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065,14.861290322580645
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,310,4.5897258725587475,14.262473080030402,15.306060287776704,133.08387096774194,82.45161290322581,1.6580645161290322,14.848387096774193
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,310,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065,14.861290322580645
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,310,4.5897258725587475,14.262473080030402,15.306060287776704,133.08387096774194,82.45161290322581,1.6580645161290322,14.848387096774193
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,310,4.617581671968873,14.45132137899513,14.644181703456463,137.4967741935484,85.00645161290322,1.6516129032258065,14.82258064516129
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,310,4.622429181778659,14.463626681399036,14.407680014877739,138.19354838709677,85.00645161290322,1.6612903225806452,14.812903225806451
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,310,4.617581671968873,14.45132137899513,14.644181703456463,137.4967741935484,85.00645161290322,1.6516129032258065,14.82258064516129
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,310,4.622429181778659,14.463626681399036,14.407680014877739,138.19354838709677,85.00645161290322,1.6612903225806452,14.812903225806451
