sequence,recording,frame,source,target_id,range_m,matched_2m,matched_12m
0000,testoutput_CAV_data_2022-03-15-09-54-40,87,2,103,24.502071672513118,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,88,1,1,27.18802575803051,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,88,1,2,36.846780721193916,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,88,2,103,24.66700846989232,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,89,1,1,27.2600434499261,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,89,1,2,37.06354166015848,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,89,2,103,24.812186436801024,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,90,1,1,27.332185418597707,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,90,1,2,37.251954567232126,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,90,2,103,25.004523212726884,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,91,1,1,27.457369142808723,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,91,1,2,37.516771252713816,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,91,2,103,25.092986744132528,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,92,1,1,27.592622112656276,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,92,1,2,37.68567283222368,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,92,2,103,25.316848643116774,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,93,1,1,27.64056972259192,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,93,1,2,37.859808216182635,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,93,2,103,25.475512603600333,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,94,1,1,27.774766675179702,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,94,1,2,38.11319858000736,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,94,2,103,25.671312685702873,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,95,1,1,27.82385255703415,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,95,1,2,38.37977975003271,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,95,2,103,25.8712971935118,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,96,1,1,27.912825530441477,1,1
