seed,full_attempted_bytes,moment_attempted_bytes,attempted_reduction_percent,full_delivered_bytes,moment_delivered_bytes,delivered_reduction_percent,full_local_eospa,moment_local_eospa,local_eospa_delta,full_consensus_ospa,moment_consensus_ospa,consensus_ospa_delta,full_consensus_position,moment_consensus_position,consensus_position_delta,full_consensus_cardinality,moment_consensus_cardinality,consensus_cardinality_delta,missing_snapshot_count,label_set_mismatch_count,missing_label_count,comparison_count,snapshot_count,max_abs_r,max_abs_mu,max_abs_sigma,exact_match,attempted_masks_equal,delivered_masks_equal
122,24347600,10459760,57.039872513101905,19694352,8322552,57.741427593047995,2.027152591355553,2.027152591355553,0,1.9352912825848319,1.9352912825848319,0,3.5705621157400094,3.5705621157400094,0,0.21249999999999999,0.21249999999999999,0,0,0,0,22296,800,0,0,0,1,1,1
123,23085520,10136080,56.093343359820352,18847912,8212432,56.427895036861379,1.9308737270286076,1.9308737270286076,0,1.9084157264987427,1.9084157264987427,0,3.362912568799719,3.362912568799719,0,0.17999999999999999,0.17999999999999999,0,0,0,0,21812,800,0,0,0,1,1,1
124,22593600,9652800,57.276396855746761,18023872,7765072,56.917847618979984,1.8937886205864747,1.8937886205864747,0,1.8118775964207523,1.8118775964207523,0,3.791173981436708,3.791173981436708,0,0.14749999999999999,0.14749999999999999,0,0,0,0,20798,800,0,0,0,1,1,1
125,21694160,9078800,58.150949379925287,17403536,7357256,57.725510493959391,1.9509796351974236,1.9509796351974236,0,1.8518149668590085,1.8518149668590085,0,3.7407743817951324,3.7407743817951324,0,0.16750000000000001,0.16750000000000001,0,0,0,0,19720,800,0,0,0,1,1,1
126,25434400,10907200,57.116346365552168,20112996,8732436,56.583116707227504,2.0897272816485324,2.0897272816485324,0,1.9918540051596541,1.9918540051596541,0,4.1197373103948456,4.1197373103948456,0,0.21875,0.21875,0,0,0,0,23723,800,0,0,0,1,1,1
127,25316640,10213920,59.655309709345318,20421712,8310112,59.307466484690408,2.0974705366110471,2.0974705366110471,0,1.9958252591969678,1.9958252591969678,0,4.4558384435776306,4.4558384435776306,0,0.2225,0.2225,0,0,0,0,21906,800,0,0,0,1,1,1
128,23999280,9899760,58.749762492874787,18868816,7750696,58.923251994189776,2.066641355064772,2.066641355064772,0,1.9388011427410077,1.9388011427410077,0,4.9535510827779907,4.9535510827779907,0,0.20874999999999999,0.20874999999999999,0,0,0,0,21254,800,0,0,0,1,1,1
129,23259680,9940640,57.262352706486077,18556732,7911412,57.366350928601008,1.9846766726656953,1.9846766726656953,0,1.9164582814490345,1.9164582814490345,0,5.4226413124480208,5.4226413124480208,0,0.17125000000000001,0.17125000000000001,0,0,0,0,21268,800,0,0,0,1,1,1
130,21976800,8947200,59.287976411488479,17271296,7218056,58.207791702487178,1.9724485013671063,1.9724485013671063,0,1.8296565234829791,1.8296565234829791,0,2.4208017941622,2.4208017941622,0,0.14874999999999999,0.14874999999999999,0,0,0,0,19480,800,0,0,0,1,1,1
131,29141360,11612240,60.152031339649213,23492740,9287980,60.464466894879017,2.2432850611018043,2.2432850611018043,0,2.0046679046813782,2.0046679046813782,0,6.330857672093944,6.330857672093944,0,0.20624999999999999,0.20624999999999999,0,0,0,0,24575,800,0,0,0,1,1,1
