mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,10,1,posterior,55,61,55,False,False,0.70229786664191,5.453042011238324,55.9989175440506,False
nominal,reliable,10,1,fused,55,61,55,False,False,0.70229786664191,5.453042011238324,55.9989175440506,False
nominal,reliable,10,1,target_local,22,11,11,False,False,0.025210682460102177,0.7366173690427633,35.98416368654793,False
nominal,reliable,10,1,target_posterior,22,10,10,False,False,0.0013866062834164364,0.7366173690427757,35.984163686547916,False
nominal,reliable,10,2,predicted,50,54,50,False,False,0.4229811505014294,6.307373388389718,0.0,False
nominal,reliable,10,2,local,24,26,24,False,False,0.1437643244832915,0.13951325770595197,2.533357574952685,False
nominal,reliable,10,2,posterior,55,61,55,False,False,0.7022978666419062,5.453042011238324,55.9989175440506,False
nominal,reliable,10,2,fused,55,61,55,False,False,0.7022978666419062,5.453042011238324,55.9989175440506,False
nominal,reliable,10,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,10,2,target_posterior,22,10,10,False,False,0.0013866062834164364,0.7366173690427757,35.984163686547916,False
nominal,reliable,11,1,predicted,65,71,65,False,False,0.6952748879754909,5.453042011238324,0.0,False
nominal,reliable,11,1,local,55,63,55,False,False,0.09756408958575591,3.643783300306031,62.50596677332702,False
nominal,reliable,11,1,posterior,49,57,48,False,False,0.615864219541274,3.6437833003060387,62.505966773327,False
nominal,reliable,11,1,fused,55,63,55,False,False,0.615864219541274,34.21375615126334,109.87749197885323,False
nominal,reliable,11,1,target_local,26,18,18,False,False,0.06143560431597342,0.890159574446765,38.01059218130851,False
nominal,reliable,11,1,target_posterior,25,18,17,False,False,0.00497307558031854,0.8901595744467699,38.01059218130848,False
nominal,reliable,11,2,predicted,56,62,56,False,False,0.6952748879754872,5.453042011238324,0.0,False
nominal,reliable,11,2,local,31,33,29,False,False,0.34458624837192414,0.40406563697165865,2.835504286749355,False
nominal,reliable,11,2,posterior,49,57,48,False,False,0.615864219541274,3.6437833003060387,62.505966773327,False
nominal,reliable,11,2,fused,55,63,54,False,False,0.615864219541274,5.065838422078876,62.505966773327,False
nominal,reliable,11,2,target_local,3,4,1,False,False,0.00014005745014176335,0.40406563697165865,0.291214607097805,False
nominal,reliable,11,2,target_posterior,25,18,17,False,False,0.00497307558031854,0.8901595744467699,38.01059218130848,False
nominal,reliable,12,1,predicted,59,67,58,False,False,0.6097055773458613,3.7479809725141386,0.0,False
nominal,reliable,12,1,local,50,58,49,False,False,0.1538785062667546,6.261511841268966,19.811305427422212,False
nominal,reliable,12,1,posterior,47,55,46,False,False,0.637898322760079,6.261511841268991,19.811305427422212,False
nominal,reliable,12,1,fused,53,61,52,False,False,0.637898322760079,6.261511841268991,19.811305427422212,False
nominal,reliable,12,1,target_local,25,22,21,False,False,0.05811664363963631,3.2514683901346926,19.811305427422212,False
nominal,reliable,12,1,target_posterior,25,22,21,False,False,0.0042721975177327795,3.2514683901346864,19.811305427422212,False
