x,self_input_intensity,gateway_input_intensity,renormalized_intensity,self_fallback_intensity
-0.31000000000000005,0.30418108380105996,2.9529166606932855e-05,0.1407360697367222,0.25651675437585253
-0.2999999999999998,0.3051102523684193,3.08281573936697e-05,0.14211022048518948,0.2578154404077038
-0.29000000000000004,0.30601165653033924,3.218107263781198e-05,0.14348343941692945,0.25909479061721835
-0.2799999999999998,0.30688503372278286,3.359000234529398e-05,0.14485544157080818,0.2603544525627309
-0.27,0.30773012903899427,3.50571109630065e-05,0.14622593961331418,0.26159407799204526
-0.2599999999999998,0.3085466953534529,3.658463975328105e-05,0.14759464393134783,0.26281332300243115
-0.25,0.3093344934422795,3.817490923296396e-05,0.148961262727038,0.26401184819920986
-0.23999999999999977,0.31009329210001135,3.9830321678409675e-05,0.15032550211454884,0.2651893188528295
-0.22999999999999998,0.31082286825266875,4.1553363697727825e-05,0.151687066218836,0.26634540505432464
-0.21999999999999975,0.3115230070670324,4.334660887163212e-05,0.15304565727631184,0.26747978186906396
-0.20999999999999996,0.3121935020560595,4.521272046424593e-05,0.15440097573737532,0.2685921294886811
-0.19999999999999973,0.3128341551803648,4.715445420523205e-05,0.15575272037076313,0.2696821333810938
-0.18999999999999995,0.31344477694569695,4.917466114461555e-05,0.15710058836967344,0.2707494844385091
-0.18000000000000016,0.31402518649634314,5.127629058168488e-05,0.15844427545961653,0.2717938791233209
-0.16999999999999993,0.3145752117043978,5.346239306935249e-05,0.1597834760079403,0.27281501961180055
-0.16000000000000014,0.3150946892548327,5.573612349537148e-05,0.16111788313497982,0.273812613935487
-0.1499999999999999,0.31558346472631116,5.810074424180187e-05,0.16244718882677886,0.2747863761201829
-0.14000000000000012,0.31604139266768905,6.0559628424128755e-05,0.16377108404932694,0.2757360263224624
-0.1299999999999999,0.31646833667014995,6.311626321143447e-05,0.1650892588642575,0.27666129096360154
-0.1200000000000001,0.3168641694349249,6.577425322902881e-05,0.16640140254594815,0.27756190286084026
-0.10999999999999988,0.3172287728365487,6.853732404494573e-05,0.16770720369996492,0.2784376013558885
-0.10000000000000009,0.3175620379816095,7.140932574170635e-05,0.1690063503827893,0.2792881324405894
