dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,304,5.519153520926276,10.864870258550411,4.300940271305119,68.44736842105263,80.76315789473684,1.1578947368421053,6.786184210526316
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,conditional,304,5.7344219572756145,11.419706988793635,4.9629230258384744,60.86842105263158,99.0,1.2664473684210527,7.144736842105263
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint,304,5.574512746492812,10.987208949395605,4.419575290490404,65.36842105263158,85.5,1.180921052631579,6.894736842105263
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,6.912828947368421
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,304,5.54643202018276,10.916617069064912,2.328658933339338,66.3157894736842,87.03947368421052,1.231907894736842,6.902960526315789
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,conditional,304,5.792078975103132,11.529370765848823,2.5321381913131122,60.63157894736842,105.98684210526316,1.3470394736842106,7.245065789473684
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint,304,5.5924068178859025,11.029159999804541,2.3299751781329,64.42105263157895,91.65789473684211,1.269736842105263,6.993421052631579
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.519530165479254,10.83168338710257,2.700882878056794,65.36842105263158,85.73684210526316,1.2401315789473684,6.8980263157894735
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,304,5.514875071382949,10.809484282830487,2.7340188931875717,65.84210526315789,84.67105263157895,1.238486842105263,6.876644736842105
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,conditional,304,5.628913858580649,11.121945439861788,2.881343918663749,60.1578947368421,96.03947368421052,1.268092105263158,7.113486842105263
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint,304,5.50918796381455,10.82330585300661,2.745684786966874,63.94736842105263,87.03947368421052,1.238486842105263,6.935855263157895
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,original,221,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159,13.14027149321267
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,joint_mark,221,2.9070834589268757,9.03076915254119,10.342124975171199,69.71945701357465,45.28506787330317,1.009049773755656,13.108597285067873
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,conditional,221,2.9241968236813514,9.089144503714625,9.855516895179909,59.94570135746606,53.42986425339367,0.9683257918552036,13.357466063348417
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,joint,221,2.9289226116970215,9.05266540239372,10.141968274344176,65.4841628959276,48.542986425339365,1.004524886877828,13.212669683257918
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,original,221,3.0741824718402118,9.568116538037362,14.321056441964203,83.72850678733032,37.14027149321267,1.0452488687782806,12.800904977375566
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,joint_mark,221,3.0799896869023713,9.55935746242164,14.214004036922196,84.38009049773756,36.48868778280543,1.0633484162895928,12.782805429864254
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,conditional,221,3.068011893654621,9.621528884805487,14.60028811726848,75.90950226244344,43.33031674208145,0.9502262443438914,12.995475113122172
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,joint,221,3.0504413723571187,9.563116995145279,14.458774609906518,80.47058823529412,39.74660633484163,1.0,12.882352941176471
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,original,221,3.6677597469572776,12.074982670543115,29.543906028110236,144.81447963800906,68.90497737556561,1.4298642533936652,12.393665158371041
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,joint_mark,221,3.6741859885580914,12.070137355770026,29.72456512707042,145.79185520361992,67.76470588235294,1.4502262443438914,12.364253393665159
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,conditional,221,3.6751228239701037,12.089575087485287,28.99081770152469,140.25339366515837,73.30316742081448,1.418552036199095,12.518099547511312
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,joint,221,3.643551378040206,11.995270445232263,29.47690764898364,142.3710407239819,68.7420814479638,1.407239819004525,12.425339366515837
v2v_development,0007,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,original,221,3.6309403577162063,11.898613971592292,33.18062223703642,140.579185520362,61.90045248868778,1.4502262443438914,12.355203619909503
v2v_development,0007,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,joint_mark,221,3.6314717827309164,11.88138026460865,33.28010489865994,140.579185520362,61.248868778280546,1.4592760180995474,12.346153846153847
v2v_development,0007,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,conditional,221,3.6893903546752806,12.054762602472845,33.21050190233772,136.34389140271495,65.97285067873302,1.420814479638009,12.470588235294118
v2v_development,0007,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,joint,221,3.6321823199197887,11.890457032663695,33.299724536497536,138.46153846153845,62.38914027149321,1.4411764705882353,12.391402714932127
v2v_development,0008,reliable,GCE,testoutput_CAV_data_2022-03-21-09-35-07,original,375,0.8301047827587411,2.7159118729812035,2.8174220302493196,5.952,9.6,0.20533333333333334,14.426666666666666
v2v_development,0008,reliable,GCE,testoutput_CAV_data_2022-03-21-09-35-07,joint_mark,375,0.809255216412883,2.646206677817143,2.5412632182141848,6.144,8.064,0.18666666666666668,14.402666666666667
v2v_development,0008,reliable,GCE,testoutput_CAV_data_2022-03-21-09-35-07,conditional,375,0.8170644029567209,2.6894110419467347,2.9173008129894624,5.184,9.6,0.19466666666666665,14.437333333333333
