sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
0007,v2v_development,testoutput_CAV_data_2022-03-17-11-51-42,reliable,marked_gaussian_evidence_miss_half,221,2.944984486111282,9.08302352304555,11.206993215462864,63.8552036199095,48.542986425339365,1.0,8793024,8793024,12950784,16.766043166666666,False
0007,v2v_development,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_gaussian_evidence,221,3.6677597469572776,12.074982670543115,29.543906028110236,144.81447963800906,68.90497737556561,1.4298642533936652,8916224,5521472,12492032,18.822261333333334,True
0007,v2v_development,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_gaussian_evidence_miss_history,221,3.650726557556477,12.036709070093337,29.455553195104578,144.0,68.90497737556561,1.418552036199095,8922560,5525344,12541184,18.047981333333333,False
0007,v2v_development,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_gaussian_evidence_miss_half,221,3.632355997559289,11.984621480560019,30.24014166182441,139.76470588235293,69.23076923076923,1.3778280542986425,9296032,5823136,13114624,18.735671916666668,False
0008,v2v_development,testoutput_CAV_data_2022-03-21-09-35-07,reliable,marked_gaussian_evidence,375,0.8301047827587411,2.7159118729812035,2.8174220302493196,5.952,9.6,0.20533333333333334,12009952,12009952,16709376,31.99565829166667,True
0008,v2v_development,testoutput_CAV_data_2022-03-21-09-35-07,reliable,marked_gaussian_evidence_miss_history,375,0.8301047814020708,2.715911865546541,2.817421906021425,5.952,9.6,0.20533333333333334,12009952,12009952,16709376,31.22474525,False
0008,v2v_development,testoutput_CAV_data_2022-03-21-09-35-07,reliable,marked_gaussian_evidence_miss_half,375,0.8301048349385878,2.7159123931336984,2.8174427165451266,5.952,9.6,0.20533333333333334,12008544,12008544,16578304,30.926390666666666,False
0008,v2v_development,testoutput_CAV_data_2022-03-21-09-35-07,intermittent,marked_gaussian_evidence,375,0.9903393894133941,3.141434803827554,2.9417421509378885,9.888,9.888,0.264,13814656,9744448,19887872,27.77829854166667,True
0008,v2v_development,testoutput_CAV_data_2022-03-21-09-35-07,intermittent,marked_gaussian_evidence_miss_history,375,0.9903393885693867,3.1414347992590246,2.9417420755797252,9.888,9.888,0.264,13814656,9744448,19887872,28.82504258333333,False
0008,v2v_development,testoutput_CAV_data_2022-03-21-09-35-07,intermittent,marked_gaussian_evidence_miss_half,375,0.9807172682305321,3.1155506972171874,2.946058105560066,9.6,9.888,0.26,13813248,9749728,19937024,30.095823375,False
