sequence,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_negative,114,4.49138816942266,4.352179450119045,0.8622860167072777,18.94736842105263,22.105263157894736,0.5350877192982456
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_consensus,114,4.491388169422547,4.352179450118769,0.8622860167004966,18.94736842105263,22.105263157894736,0.5350877192982456
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_000,114,4.355331503995158,4.306832545629829,0.8845506385908508,19.57894736842105,21.473684210526315,0.5175438596491229
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_050,114,4.670503631586222,4.529414522814162,0.8823340990105909,19.57894736842105,23.36842105263158,0.543859649122807
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_100,114,4.775193192993962,4.603184392995666,0.8803209598217585,19.57894736842105,24.0,0.5526315789473685
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixedx_125,114,4.7749212728256225,4.602871005815351,0.879381210943455,19.57894736842105,24.0,0.5526315789473685
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_all,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_positive,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_negative,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
0002,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_consensus,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
