sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,53,2,marked_gaussian_evidence,3,3,0.26517299291289514,0.261401544575907,1.0289507510363471,2,131,False
v2xt_0001,reliable,5,54,1,marked_gaussian_evidence,8,8,0.1815287013380228,0.16962237842944403,1.1444653772475641,7,132,False
v2xt_0001,reliable,5,54,2,marked_gaussian_evidence,8,8,0.1815287013380228,0.16962237842944403,1.1444653772475641,7,132,False
v2xt_0001,reliable,5,55,1,marked_gaussian_evidence,18,18,0.13351563347673126,0.095391517392623,1.9403255806028206,17,137,False
v2xt_0001,reliable,5,55,2,marked_gaussian_evidence,18,18,0.13351563347673126,0.095391517392623,1.9403255806028206,17,137,False
v2xt_0001,reliable,5,56,1,marked_gaussian_evidence,22,22,0.10525745842010557,0.04385664506162759,5.258989552727234,20,140,False
v2xt_0001,reliable,5,56,2,marked_gaussian_evidence,22,22,0.10525745842010557,0.04385664506162759,5.258989552727234,20,140,False
v2xt_0001,reliable,5,57,1,marked_gaussian_evidence,28,28,0.10594776069983992,0.01443409714159892,21.176093239159027,21,144,False
v2xt_0001,reliable,5,57,2,marked_gaussian_evidence,28,28,0.10594776069983992,0.01443409714159892,21.176093239159027,21,144,False
v2xt_0001,reliable,5,58,1,marked_gaussian_evidence,33,33,0.11534293675136269,0.004393937535414277,31.554463577313356,21,148,False
v2xt_0001,reliable,5,58,2,marked_gaussian_evidence,33,33,0.11534293675136269,0.004393937535414277,31.554463577313356,21,148,False
v2xt_0001,reliable,5,59,1,marked_gaussian_evidence,129,129,0.4814749075694557,0.004020903795809621,127.47102967693333,20,153,False
v2xt_0001,reliable,5,59,2,marked_gaussian_evidence,129,129,0.4814749075694557,0.004020903795809621,127.47102967693333,20,153,False
v2xt_0001,reliable,5,60,1,marked_gaussian_evidence,132,132,0.48919193634387403,0.0038828197614391895,130.17057209574594,21,158,False
v2xt_0001,reliable,5,60,2,marked_gaussian_evidence,132,132,0.48919193634387403,0.0038828197614391895,130.17057209574594,21,158,False
v2xt_0001,reliable,5,61,1,marked_gaussian_evidence,130,130,0.4790540656001143,0.0038398601057324216,128.53143618205246,17,153,False
v2xt_0001,reliable,5,61,2,marked_gaussian_evidence,130,130,0.4790540656001143,0.0038398601057324216,128.53143618205246,17,153,False
