separation_in_sigma,eta,kla_r,mil_r
2.95,0.33695277229782516,0.5740713532686958,0.8
2.96,0.33447270571756405,0.5722640295185863,0.8
2.97,0.3320025929519208,0.5704486491512033,0.8
2.98,0.32954248353907717,0.5686252395625401,0.8
2.99,0.3270924259032955,0.5667938292402872,0.8
3.0,0.32465246735834974,0.5649544477739072,0.8
3.0100000000000002,0.3222226541110665,0.5631071258645488,0.8
3.02,0.31980303126498016,0.5612518953347926,0.8
3.0300000000000002,0.317393642824096,0.5593887891382223,0.8
3.04,0.31499453169676334,0.5575178413688139,0.8
3.0500000000000003,0.31260573969965527,0.5556390872701344,0.8
3.06,0.3102273075618552,0.5537525632443449,0.8
3.0700000000000003,0.307859274929046,0.5518583068609957,0.8
3.08,0.3055016803678051,0.5499563568656145,0.8
3.09,0.30315456136999824,0.5480467531880695,0.8
3.1,0.3008179543572755,0.5461295369507089,0.8
3.11,0.29849189468566567,0.5442047504762635,0.8
3.12,0.2961764166502667,0.5422724372955076,0.8
3.13,0.2938715534900346,0.5403326421546687,0.8
3.14,0.29157733739266345,0.5383854110225799,0.8
3.15,0.2892937994995617,0.5364307910975654,0.8
3.16,0.2870209699109173,0.5344688308140542,0.8
3.17,0.2847588776908549,0.53249957984891,0.8
3.18,0.2825075508726796,0.5305230891274743,0.8
3.19,0.2802670164642098,0.5285394108293107,0.8
3.2,0.2780373004531941,0.5265485983936464,0.8
3.21,0.27581842781281324,0.5245507065245005,0.8
3.22,0.2736104225072639,0.5225457911954917,0.8
3.23,0.2714133074974245,0.52053390965432,0.8
3.24,0.2692271047465995,0.5185151204269113,0.8
3.25,0.26705183522634335,0.5164894833212215,0.8
3.2600000000000002,0.2648875189223591,0.5144570594306872,0.8
3.27,0.26273417484047445,0.5124179111373223,0.8
3.2800000000000002,0.26059182101268913,0.5103721021144462,0.8
3.29,0.2584604745032964,0.5083196973290415,0.8
3.3000000000000003,0.25634015141507355,0.5062607630437314,0.8
3.31,0.2542308668955431,0.5041953668183701,0.8
3.3200000000000003,0.2521326351433001,0.5021235775112401,0.8
3.33,0.25004546941440664,0.5000454652798474,0.8
3.34,0.24796938202885063,0.4979611015813101,0.8
3.35,0.24590438437706766,0.4958705591723322,0.8
3.36,0.2438504869265247,0.49377391210875715,0.8
3.37,0.24180769922836345,0.49167123574469246,0.8
3.38,0.2397760299241035,0.48956260673120244,0.8
3.39,0.23775548675240069,0.4874481030145593,0.8
3.4,0.23574607655586358,0.48532780383405005,0.8
3.41,0.23374780528792163,0.48320178971933,0.8
3.42,0.23176067801974853,0.48107014248732055,0.8
3.43,0.2297846989472342,0.4789329452386424,0.8
3.44,0.22781987139800908,0.4767902823535823,0.8
3.45,0.22586619783851442,0.47464223948758455,0.8
3.46,0.2239236798811214,0.47248890356626677,0.8
3.47,0.2219923182912938,0.47033036277995,0.8
3.48,0.22007211299479584,0.46816670657770393,0.8
3.49,0.21816306308494188,0.4659980256608992,0.8
3.5,0.2162651668298873,0.4638244119762645,0.8
3.5100000000000002,0.21437842167995852,0.46164595870844405,0.8
3.52,0.21250282427502207,0.4594627602720534,0.8
3.5300000000000002,0.21063837045188888,0.4572749123032271,0.8
3.54,0.2087850552517555,0.45508251165065966,0.8
3.5500000000000003,0.20694287292767755,0.4528856563661326,0.8
3.56,0.20511181695207692,0.4506844456945295,0.8
3.5700000000000003,0.20329188002427875,0.448478980063332,0.8
3.58,0.20148305407807937,0.44626936107160065,0.8
3.59,0.19968533028934102,0.44405569147843343,0.8
3.6,0.19789869908361465,0.441838075190905,0.8
3.61,0.19612315014378745,0.43961661725148343,0.8
3.62,0.19435867241775442,0.4373914238249237,0.8
