cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
seen_transfer,0014,reliable,marked_gaussian_evidence_no_curvature,80,5.535686403266905,17.133309423517098,9.182885903737247,288.9,1.8,3.9875,4356544,4356544,5394432,130.00567979166667
seen_transfer,0014,reliable,marked_gaussian_evidence,80,4.99726397337662,15.42772054245275,7.505532677735421,238.5,1.8,3.2875,2961920,2961920,4100096,26.096623541666666
seen_transfer,0014,intermittent,marked_lineage,80,5.681667031666639,17.823749371849335,15.424806302185226,301.5,7.65,4.08125,2476368,1732128,3919872,70.54515425
seen_transfer,0014,intermittent,marked_er,80,5.681679622387567,17.823816014910893,15.427181028564632,301.5,7.65,4.08125,2464304,1721104,3870720,64.74138570833334
seen_transfer,0014,intermittent,marked_asymmetric,80,5.185507226599304,16.120147282676974,12.998223876044833,253.35,2.7,3.48125,1874576,1305400,3051520,11.953869
seen_transfer,0014,intermittent,marked_gaussian_evidence_no_curvature,80,5.512771537227605,17.307768989574335,15.744493099911647,283.95,6.75,3.85,3901760,2718272,4984832,43.77450625
seen_transfer,0014,intermittent,marked_gaussian_evidence,80,4.945019247353402,15.322175039601678,9.210936196942225,235.35,2.7,3.23125,2565216,1820320,3772416,12.8639075
seen_transfer,0016,reliable,marked_lineage,293,3.4095822069834205,11.25411211464496,4.969052328037136,60.9419795221843,81.33788395904436,1.1228668941979523,9654352,9654352,15082752,55.4357665
seen_transfer,0016,reliable,marked_er,293,3.313065614847967,10.779483995184483,5.366643917163528,49.8839590443686,82.5665529010239,1.1843003412969284,9512912,9512912,14460160,66.28139608333333
seen_transfer,0016,reliable,marked_asymmetric,293,3.2151062311946004,10.425171238482154,4.756141101326608,51.60409556313993,74.21160409556315,1.1262798634812288,9895920,9895920,15754496,74.01931816666666
seen_transfer,0016,reliable,marked_gaussian_evidence_no_curvature,293,3.2315552790370723,10.357699724461673,4.7271638318237095,47.42662116040955,76.91467576791808,1.1877133105802047,15232544,15232544,19752192,52.553291083333335
seen_transfer,0016,reliable,marked_gaussian_evidence,293,3.250003774335152,10.423894883088371,4.431553929411212,47.18088737201365,79.12627986348123,1.2013651877133107,15030496,15030496,19588352,52.76616820833333
seen_transfer,0016,intermittent,marked_lineage,293,3.931003006432881,12.77063159672615,7.251483815770275,108.4914675767918,79.49488054607508,1.6689419795221843,10325776,7456000,15131904,56.508016625
seen_transfer,0016,intermittent,marked_er,293,3.938058381545364,12.77085732857439,7.258372298255586,103.20819112627986,83.91808873720136,1.7286689419795223,10109664,7299584,14722304,52.645174875
seen_transfer,0016,intermittent,marked_asymmetric,293,3.8104170055730857,12.236570028836315,6.873128530430079,100.87372013651877,75.56313993174061,1.7030716723549488,9976424,7160104,14689536,67.609481125
seen_transfer,0016,intermittent,marked_gaussian_evidence_no_curvature,293,3.8592284802728845,12.332521920455287,6.320442810406192,98.78498293515358,79.12627986348123,1.7610921501706485,15759136,11273472,20538624,73.97476391666666
seen_transfer,0016,intermittent,marked_gaussian_evidence,293,3.8502103678724313,12.333828037162137,6.3658793091472345,98.66211604095564,80.35494880546075,1.7559726962457338,15411712,11035168,20292864,74.691845875
seen_transfer,0017,reliable,marked_lineage,111,3.9451878246116605,8.940563080707003,0.9791446752122118,49.2972972972973,51.24324324324324,1.054054054054054,1425664,1425664,3665664,9.846646166666666
seen_transfer,0017,reliable,marked_er,111,3.734165107567933,8.428293811675474,0.9978760637393005,41.513513513513516,51.24324324324324,0.963963963963964,1370128,1370128,3665664,10.601499666666667
seen_transfer,0017,reliable,marked_asymmetric,111,3.9033894168689907,8.787125877544556,1.0083049732007214,47.351351351351354,48.0,0.9819819819819819,1420216,1420216,3665664,12.0557715
seen_transfer,0017,reliable,marked_gaussian_evidence_no_curvature,111,3.8272512986667193,8.668426091719516,0.8902414863081441,46.7027027027027,48.0,0.954954954954955,2184576,2184576,3731200,6.233107666666666
seen_transfer,0017,reliable,marked_gaussian_evidence,111,3.825204148720432,8.71700367044097,0.8884777020110175,46.054054054054056,50.5945945945946,0.963963963963964,2168384,2168384,3747584,9.844986458333333
seen_transfer,0017,intermittent,marked_lineage,111,4.107336001178651,9.49549775489362,8.258109684568046,56.432432432432435,53.513513513513516,1.0135135135135136,1546304,1020128,3665664,6.584693166666667
seen_transfer,0017,intermittent,marked_er,111,3.93675514641226,9.171826819791368,8.295019745678445,52.21621621621622,54.16216216216216,0.954954954954955,1489936,992464,3665664,6.389214
seen_transfer,0017,intermittent,marked_asymmetric,111,4.101953825632859,9.412018491755392,8.40559498205738,50.270270270270274,55.45945945945946,0.963963963963964,1513712,1016376,3665664,7.116465916666667
seen_transfer,0017,intermittent,marked_gaussian_evidence_no_curvature,111,4.032044860230111,9.201402467036221,8.850459269712486,44.75675675675676,56.108108108108105,0.9864864864864865,2264832,1515520,3731200,12.090466708333333
seen_transfer,0017,intermittent,marked_gaussian_evidence,111,4.024727007827891,9.209483235883205,8.845499954215828,44.108108108108105,57.729729729729726,1.0,2323968,1538048,3731200,8.561753333333334
seen_transfer,0018,reliable,marked_lineage,183,2.3277367269120814,5.194328505046595,3.8135626726450904,29.114754098360656,11.40983606557377,0.5191256830601093,2324256,2324256,6043392,14.783690916666666
seen_transfer,0018,reliable,marked_er,183,2.3006747057384476,5.134178115273131,3.8137985111659694,28.721311475409838,11.01639344262295,0.5191256830601093,2303872,2303872,6043392,14.229355791666666
seen_transfer,0018,reliable,marked_asymmetric,183,2.4544488486157583,5.456417874307488,3.5189326862809187,28.721311475409838,15.344262295081966,0.5355191256830601,2315936,2315936,6043392,15.027659333333334
seen_transfer,0018,reliable,marked_gaussian_evidence_no_curvature,183,2.469583710621127,5.4726002798947535,1.9242291010494854,28.721311475409838,17.704918032786885,0.546448087431694,3542976,3542976,6207232,15.836204875
seen_transfer,0018,reliable,marked_gaussian_evidence,183,2.451295447926348,5.449385336348056,3.0987679340646097,23.60655737704918,20.065573770491802,0.5191256830601093,3516928,3516928,6190848,19.264388708333332
seen_transfer,0018,intermittent,marked_lineage,183,2.4094171005276155,5.364017156699455,3.6546309138231883,29.114754098360656,14.950819672131148,0.5737704918032787,2300960,1624720,6043392,12.028925291666667
seen_transfer,0018,intermittent,marked_er,183,2.381767458378516,5.3213794244738475,3.6561490712549114,28.721311475409838,14.950819672131148,0.5683060109289617,2292640,1617856,6043392,12.9542115
seen_transfer,0018,intermittent,marked_asymmetric,183,2.5500455995532603,5.642458497185024,2.7600079043937535,30.491803278688526,18.098360655737704,0.6092896174863388,2285080,1585488,6043392,10.82019675
seen_transfer,0018,intermittent,marked_gaussian_evidence_no_curvature,183,2.5002835711374294,5.573357428534629,2.9135741671846223,28.524590163934427,18.885245901639344,0.5819672131147541,3404288,2353728,6207232,14.344985083333333
seen_transfer,0018,intermittent,marked_gaussian_evidence,183,2.501017812843611,5.616890738658272,3.2029769065095777,26.557377049180328,21.24590163934426,0.5655737704918032,3509888,2422368,6207232,13.749028541666666
seen_transfer,0019,reliable,marked_lineage,177,2.847267556580979,8.714609899164467,3.29750139064343,46.779661016949156,58.983050847457626,0.8700564971751412,3616384,3616384,5845248,19.727544
seen_transfer,0019,reliable,marked_er,177,2.855802578730547,8.659121872817332,3.4887511874462773,44.33898305084746,59.79661016949152,0.903954802259887,3642592,3642592,5845248,24.229977958333333
seen_transfer,0019,reliable,marked_asymmetric,177,2.6908552639718373,8.355558087842518,5.096133314948505,44.33898305084746,53.69491525423729,0.7853107344632768,3665560,3665560,5845248,23.625030125
seen_transfer,0019,reliable,marked_gaussian_evidence_no_curvature,177,2.5384337702273365,7.891221823606815,3.074744744911907,40.271186440677965,54.91525423728814,0.7457627118644068,5636640,5636640,8466688,27.084517208333335
seen_transfer,0019,reliable,marked_gaussian_evidence,177,2.569630948183905,7.991056226186419,2.6858730094188714,41.08474576271186,55.32203389830509,0.7401129943502824,5619392,5619392,8532224,28.604893708333332
seen_transfer,0019,intermittent,marked_lineage,177,3.34221574798522,10.037967488986032,6.916231156483617,60.610169491525426,66.30508474576271,1.1073446327683616,3879088,2850720,5845248,24.284280083333332
seen_transfer,0019,intermittent,marked_er,177,3.2534885579293933,9.71072803063357,7.176359537028745,55.728813559322035,65.49152542372882,1.1073446327683616,3550448,2632736,5845248,23.391176625
seen_transfer,0019,intermittent,marked_asymmetric,177,3.168633335714353,9.53633944031801,7.660105640049385,55.32203389830509,62.644067796610166,1.0225988700564972,3776920,2803560,5861632,16.4464995
seen_transfer,0019,intermittent,marked_gaussian_evidence_no_curvature,177,3.1152945810549064,9.340768352394912,5.709581097481884,53.49152542372882,64.27118644067797,1.0141242937853108,5969280,4422272,8876288,21.579335791666665
seen_transfer,0019,intermittent,marked_gaussian_evidence,177,3.097457340242455,9.284704082455908,5.326842427079573,53.49152542372882,63.86440677966102,1.002824858757062,5967168,4408896,8909056,25.174562125
seen_transfer,0021,reliable,marked_lineage,286,4.3511925635981505,8.538945444445439,6.508136357177749,41.79020979020979,51.86013986013986,0.8181818181818182,4055584,4055584,9444864,27.217073166666665
seen_transfer,0021,reliable,marked_er,286,4.462179960011419,8.600193575931277,6.139303334982253,32.97902097902098,57.65034965034965,0.8811188811188811,3423680,3423680,9444864,22.589526208333332
seen_transfer,0021,reliable,marked_asymmetric,286,3.892966514037672,7.435014839807975,6.25195405659553,39.77622377622377,32.97902097902098,0.6888111888111889,3918224,3918224,9444864,21.627968
seen_transfer,0021,reliable,marked_gaussian_evidence_no_curvature,286,4.134770254363933,7.8935873350431764,6.18495344676332,41.28671328671329,38.76923076923077,0.7692307692307693,6863648,6863648,11181568,23.427289875
seen_transfer,0021,reliable,marked_gaussian_evidence,286,4.016663142968407,7.736303684158925,6.333510403451135,36.25174825174825,41.03496503496503,0.7237762237762237,6199776,6199776,9707008,22.975639833333332
seen_transfer,0021,intermittent,marked_lineage,286,4.901932792098936,9.53111286691126,9.40877483875368,55.63636363636363,54.62937062937063,1.1083916083916083,4147728,3054496,9444864,18.71592933333333
seen_transfer,0021,intermittent,marked_er,286,5.100372125101885,9.908707818189121,8.1621413351882,51.86013986013986,65.07692307692308,1.1835664335664335,3560544,2667616,9444864,16.152964291666667
seen_transfer,0021,intermittent,marked_asymmetric,286,4.681863379371641,9.059432777153381,8.121689329805424,54.75524475524475,48.20979020979021,1.0,3906624,2872984,9444864,14.19169325
seen_transfer,0021,intermittent,marked_gaussian_evidence_no_curvature,286,4.691289375778485,9.11969491217678,8.161387112947756,54.0,49.84615384615385,0.9947552447552448,6152608,4539136,9707008,16.413744166666667
seen_transfer,0021,intermittent,marked_gaussian_evidence,286,4.730991568069535,9.151132184912866,8.105731251561801,53.62237762237762,50.22377622377623,1.0122377622377623,6476096,4751040,9985536,17.732701166666665
seen_transfer,0022,reliable,marked_lineage,229,3.412232318716907,13.640860302715614,10.59348355921177,146.8296943231441,64.13973799126637,1.6375545851528384,8786016,8786016,12870912,52.427590708333334
seen_transfer,0022,reliable,marked_er,229,3.1975350056398395,12.848900348821996,11.900995136386872,122.3056768558952,66.65502183406113,1.445414847161572,8249792,8249792,12231936,57.44681475
seen_transfer,0022,reliable,marked_asymmetric,229,3.303791989489048,13.159540760241356,10.290719159809667,138.65502183406113,59.737991266375545,1.5589519650655022,8648536,8648536,12461312,41.60817766666667
seen_transfer,0022,reliable,marked_gaussian_evidence_no_curvature,229,3.1801245224171932,12.727522096529755,10.418709043136037,127.65065502183405,60.68122270742358,1.4716157205240175,14073184,14073184,17769728,56.08596241666667
seen_transfer,0022,reliable,marked_gaussian_evidence,229,3.1099419745051216,12.398294206272489,10.743187075330301,114.13100436681222,63.82532751091703,1.4148471615720524,13908800,13908800,17835264,67.04725283333333
seen_transfer,0022,intermittent,marked_lineage,229,3.7023956790213535,14.93675566297861,32.74674402196068,166.16593886462883,71.37117903930131,1.9104803493449782,8862560,6209632,13165824,50.816899
seen_transfer,0022,intermittent,marked_er,229,3.470906633669104,14.0791027251427,31.614450433171818,147.9301310043668,70.11353711790393,1.7314410480349345,8474016,5923216,12428544,46.57625933333333
seen_transfer,0022,intermittent,marked_asymmetric,229,3.604061660546273,14.5610169713568,32.789724363724766,165.37991266375545,63.9825327510917,1.8624454148471616,8583576,6000176,12215552,33.16567020833333
seen_transfer,0022,intermittent,marked_gaussian_evidence_no_curvature,229,3.595254792291093,14.563539173932764,34.692088276784595,156.73362445414847,72.94323144104804,1.8056768558951966,13595520,9565088,17736960,44.172397583333336
seen_transfer,0022,intermittent,marked_gaussian_evidence,229,3.4800692220051177,14.119677937693721,33.041920870003494,147.77292576419214,69.48471615720524,1.7074235807860263,14373440,10062464,18343168,55.64670145833333
seen_transfer,0023,reliable,marked_lineage,120,3.811356493967971,13.880639009415635,18.455029923749418,189.0,17.4,2.4,3914960,3914960,5863424,26.65639375
seen_transfer,0023,reliable,marked_er,120,3.566664336087561,13.302890162770359,19.831921747950062,162.0,25.8,1.975,3611488,3611488,4913152,25.432377541666668
seen_transfer,0023,reliable,marked_asymmetric,120,3.6044358851175433,12.942306823346488,18.499739403330686,172.8,10.2,2.2916666666666665,3891128,3891128,5666816,19.618701166666668
seen_transfer,0023,reliable,marked_gaussian_evidence_no_curvature,120,3.3890994064797693,12.01671627331756,13.303875942628327,156.6,7.8,2.1166666666666667,6417248,6417248,7976960,20.661064416666665
seen_transfer,0023,reliable,marked_gaussian_evidence,120,3.393818877078736,12.286077662378382,13.988883102763454,152.4,15.0,1.9916666666666667,6233856,6233856,7829504,25.10089758333333
seen_transfer,0023,intermittent,marked_lineage,120,3.9905872126487125,14.62250061509596,20.22068097993439,206.4,24.0,2.65,3864624,2818176,5306368,21.948272291666665
