sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,experiment,cohort,pd
0004,intermittent,marked_gaussian_evidence_guarded_scalar,180,5.147807686487898,21.125480667748203,56.9957706819474,354.0,52.0,4.194444444444445,10934432,8074272,13923328,153.59058941666666,motion,development,0.9
0004,intermittent,marked_gaussian_evidence,180,5.154528541105887,21.153139024417236,56.687551802209924,354.6,52.6,4.194444444444445,10887264,8052096,13825024,144.165290875,motion,development,0.9
0005,reliable,marked_lineage,310,4.713076314240145,14.252117337209471,17.516904154394275,137.26451612903224,72.69677419354839,1.7870967741935484,14933560,14933560,19559936,188.43835283333334,motion,development,0.9
0005,reliable,marked_asymmetric,310,4.757558833903722,14.532810950142453,14.06643040106618,148.8774193548387,72.92903225806451,1.835483870967742,15048800,15048800,19412480,168.29469683333335,motion,development,0.9
0005,reliable,marked_gaussian_evidence_guarded_scalar,310,4.653246086817128,14.400885139662828,14.812679525522787,138.19354838709677,80.12903225806451,1.696774193548387,23089216,23089216,28636672,214.576357875,motion,development,0.9
0005,reliable,marked_gaussian_evidence,310,4.605177224584803,14.216112185969758,13.942942222413729,133.78064516129032,80.36129032258064,1.6709677419354838,22866048,22866048,28341760,190.43906020833333,motion,development,0.9
0005,intermittent,marked_lineage,310,5.082160022489906,15.508582878696572,15.299263926755533,174.89032258064515,82.91612903225807,1.8064516129032258,13543600,10285040,18150912,188.41696029166667,motion,development,0.9
0005,intermittent,marked_asymmetric,310,5.076640552933583,15.407070067148833,15.30466078242929,182.43870967741935,72.58064516129032,1.935483870967742,14250488,10826368,18626048,175.07974425,motion,development,0.9
0005,intermittent,marked_gaussian_evidence_guarded_scalar,310,5.045707834639423,15.476408911281297,17.03910333557409,173.4967741935484,81.29032258064517,1.8161290322580645,21732608,16487488,27194880,138.267171125,motion,development,0.9
0005,intermittent,marked_gaussian_evidence,310,5.038738622633387,15.467173538516624,17.546326628884604,170.36129032258066,83.72903225806452,1.7774193548387096,21654464,16411456,27145728,154.53711820833334,motion,development,0.9
0006,reliable,marked_lineage,304,5.733866196754673,11.213129467995621,2.1517025357127766,65.36842105263158,94.02631578947368,1.299342105263158,5352496,5352496,11956224,73.22410183333334,motion,development,0.9
0006,reliable,marked_asymmetric,304,5.34727279037995,10.549233445203503,2.492935422503157,67.5,77.21052631578948,1.055921052631579,5076360,5076360,11399168,64.50672079166667,motion,development,0.9
0006,reliable,marked_gaussian_evidence_guarded_scalar,304,5.320964698444935,10.486944038068879,4.136985603075328,64.42105263157895,76.73684210526316,1.013157894736842,7933824,7933824,12709888,70.94208683333333,motion,development,0.9
0006,reliable,marked_gaussian_evidence,304,5.349409298179926,10.607952849347823,4.259293644490732,64.1842105263158,80.52631578947368,1.0230263157894737,7820832,7820832,12709888,62.03199816666667,motion,development,0.9
0006,intermittent,marked_lineage,304,5.617541407520345,11.151918677419472,2.391432205722474,67.61842105263158,93.3157894736842,1.2648026315789473,5277976,4172832,11563008,53.35508316666667,motion,development,0.9
0006,intermittent,marked_asymmetric,304,5.408613319067407,10.62451870073825,2.727356261807146,64.0657894736842,82.42105263157895,1.1101973684210527,5396288,4223112,12038144,36.68689225,motion,development,0.9
0006,intermittent,marked_gaussian_evidence_guarded_scalar,304,5.4598087566642475,10.830423902267839,2.5961764865392216,63.828947368421055,88.69736842105263,1.125,8180576,6442624,13250560,41.51099479166667,motion,development,0.9
0006,intermittent,marked_gaussian_evidence,304,5.46789434393867,10.784218453616177,2.3727734496130197,63.35526315789474,87.15789473684211,1.1595394736842106,7838784,6178976,12922880,45.366269625,motion,development,0.9
0007,reliable,marked_lineage,221,3.0265076368442863,9.526694861308219,10.699765220613234,56.036199095022624,71.34841628959276,1.1447963800904977,5567504,5567504,8297728,48.831134416666664,motion,development,0.9
0007,reliable,marked_asymmetric,221,2.917235595108246,9.345302535033147,11.32359359924784,53.755656108597286,67.43891402714932,0.9773755656108597,5281008,5281008,7920896,43.257490583333336,motion,development,0.9
0007,reliable,marked_gaussian_evidence_guarded_scalar,221,2.789604977658273,9.02916228102005,11.610964265069661,52.452488687782804,64.18099547511312,0.9592760180995475,7967936,7967936,12590336,42.790702833333334,motion,development,0.9
0007,reliable,marked_gaussian_evidence,221,2.5895761839342772,8.264679724587939,5.184103669243656,53.10407239819005,51.14932126696833,0.8144796380090498,7652192,7652192,12655872,53.619348458333334,motion,development,0.9
0007,intermittent,marked_lineage,221,3.2505190651690006,10.397950916544346,10.94849633313519,100.83257918552036,57.01357466063349,1.1787330316742082,5345456,3757456,7920896,39.695158625,motion,development,0.9
0007,intermittent,marked_asymmetric,221,3.2315740644427144,10.490043548527161,11.344949676818763,99.52941176470588,58.47963800904977,1.0542986425339367,5348056,3709328,7757056,50.825202958333335,motion,development,0.9
0007,intermittent,marked_gaussian_evidence_guarded_scalar,221,3.176515483054975,10.333658195974378,11.618744003001819,98.55203619909503,56.36199095022624,1.0520361990950227,8130912,5628832,12786944,47.52524283333333,motion,development,0.9
0007,intermittent,marked_gaussian_evidence,221,3.180281868203552,10.139797582655,7.382566858635033,99.36651583710407,51.31221719457014,1.1108597285067874,7227680,5019520,11771136,41.12487329166667,motion,development,0.9
0008,reliable,marked_lineage,375,0.8270591729547686,2.7072415809160497,2.6360029501243365,6.336,8.256,0.192,6529920,6529920,12384000,87.74117595833333,motion,development,0.9
0008,reliable,marked_asymmetric,375,0.8215437308404071,2.692965577664585,2.687437187217746,5.952,8.064,0.184,7096056,7096056,12384000,85.29755933333334,motion,development,0.9
0008,reliable,marked_gaussian_evidence_guarded_scalar,375,0.8254169927397538,2.7078952342421805,2.818136040821183,5.952,8.064,0.184,10786048,10786048,12809984,90.71449104166666,motion,development,0.9
0008,reliable,marked_gaussian_evidence,375,0.8300991566184478,2.7158874968545055,2.8173518860252322,5.952,9.6,0.20533333333333334,12011360,12011360,16709376,88.798796625,motion,development,0.9
0008,intermittent,marked_lineage,375,0.9918125199236174,3.1362896781970977,2.714188576684776,10.656,8.352,0.25333333333333335,7752264,5463720,12433152,57.03676320833333,motion,development,0.9
0008,intermittent,marked_asymmetric,375,0.978003924002806,3.1024743693623593,2.7633477322905735,9.888,8.352,0.24266666666666667,8447224,5927248,12924672,70.177402,motion,development,0.9
0008,intermittent,marked_gaussian_evidence_guarded_scalar,375,0.9817487822372281,3.116348883021045,2.893833880588855,9.984,8.256,0.24266666666666667,12824480,9003136,17446656,85.946287875,motion,development,0.9
0008,intermittent,marked_gaussian_evidence,375,0.9856737900987893,3.128609713116229,2.930483426605138,9.792,9.888,0.26266666666666666,13740032,9679680,19887872,76.38584720833333,motion,development,0.9
0001,reliable,marked_lineage,405,3.991275373615268,5.284273227783427,0.7563343051375446,5.155555555555556,43.91111111111111,0.6419753086419753,5230224,5230224,13374720,59.63241358333333,motion,seen_transfer,0.9
0001,reliable,marked_asymmetric,405,4.049698924587322,5.3888388280143085,0.9515688573847223,5.155555555555556,45.86666666666667,0.6641975308641975,5418064,5418064,13374720,40.082683583333335,motion,seen_transfer,0.9
0001,reliable,marked_gaussian_evidence_guarded_scalar,405,4.096481537752003,5.474109588073915,0.9546631255171191,4.8,47.644444444444446,0.6938271604938272,7925856,7925856,13751552,42.730881458333336,motion,seen_transfer,0.9
0001,reliable,marked_gaussian_evidence,405,4.1276024575970585,5.495753079023705,0.7100910404740309,4.977777777777778,47.644444444444446,0.691358024691358,7598496,7598496,13702400,41.34421429166667,motion,seen_transfer,0.9
0001,intermittent,marked_lineage,405,4.638556686693717,6.520734734198631,4.641045575484053,8.88888888888889,61.955555555555556,0.8407407407407408,5677776,3808680,13374720,41.43935704166667,motion,seen_transfer,0.9
0001,intermittent,marked_asymmetric,405,4.526655333459159,6.350945020666804,4.833110012209022,8.533333333333333,59.82222222222222,0.8111111111111111,5437320,3685520,13374720,34.790759375,motion,seen_transfer,0.9
0001,intermittent,marked_gaussian_evidence_guarded_scalar,405,4.520786951108696,6.344047770649264,4.833617442289083,8.533333333333333,59.91111111111111,0.8123456790123457,8384864,5667072,13767936,39.94523670833333,motion,seen_transfer,0.9
0001,intermittent,marked_gaussian_evidence,405,4.525662618052305,6.337498552453921,4.5475747231977905,8.71111111111111,59.733333333333334,0.8074074074074075,8434496,5718464,14030080,38.67012825,motion,seen_transfer,0.9
0002,reliable,marked_lineage,157,2.3450499608836344,3.2256851290332724,0.6570050662489223,11.006369426751592,15.59235668789809,0.3057324840764331,2073280,2073280,5184768,21.762002625,motion,seen_transfer,0.9
0002,reliable,marked_asymmetric,157,2.1241982281150587,2.9469510867288697,0.672111733374838,7.796178343949045,15.13375796178344,0.2802547770700637,1728008,1728008,5184768,17.531200375,motion,seen_transfer,0.9
0002,reliable,marked_gaussian_evidence_guarded_scalar,157,2.1241983847807773,2.9469511856918915,0.6721116443918207,7.796178343949045,15.13375796178344,0.2802547770700637,2703552,2703552,5184768,17.359739541666666,motion,seen_transfer,0.9
0002,reliable,marked_gaussian_evidence,157,2.0849706971205535,2.88527902773487,0.6277725923089309,7.337579617834395,15.13375796178344,0.27388535031847133,2677504,2677504,5184768,12.92109825,motion,seen_transfer,0.9
0002,intermittent,marked_lineage,157,2.5899698826894912,3.644908856866818,0.8916299182464148,9.630573248407643,22.24203821656051,0.3980891719745223,2031808,1482976,5184768,12.464538875,motion,seen_transfer,0.9
0002,intermittent,marked_asymmetric,157,2.3912649642292347,3.3522879417166345,0.8962321530170192,8.48407643312102,19.261146496815286,0.3471337579617834,1819184,1356808,5184768,9.974464041666666,motion,seen_transfer,0.9
0002,intermittent,marked_gaussian_evidence_guarded_scalar,157,2.3912646056833253,3.352287238064998,0.8962315049947925,8.48407643312102,19.261146496815286,0.3471337579617834,2754944,2054496,5184768,12.294118666666666,motion,seen_transfer,0.9
0002,intermittent,marked_gaussian_evidence,157,2.413758547109897,3.3714946329542577,0.8696177493251542,8.254777070063694,19.719745222929937,0.3503184713375796,2794720,2093920,5184768,9.366020083333334,motion,seen_transfer,0.9
0003,reliable,marked_lineage,1244,1.696037865797649,2.5246446216860865,0.9776101337268417,8.508038585209004,10.82315112540193,0.2620578778135048,24860216,24860216,42114048,313.58153245833336,motion,seen_transfer,0.9
0003,reliable,marked_asymmetric,1244,1.5794039095656822,2.321732183754795,1.04902792584215,9.086816720257234,7.52411575562701,0.22266881028938906,26179616,26179616,45128704,323.67908129166665,motion,seen_transfer,0.9
0003,reliable,marked_gaussian_evidence_guarded_scalar,1244,1.5976482714574152,2.3459213155587255,1.0472362277576355,9.028938906752412,7.755627009646302,0.22508038585209003,40062240,40062240,60267520,464.97864904166664,motion,seen_transfer,0.9
0003,reliable,marked_gaussian_evidence,1244,1.557017752565133,2.2877163382102244,1.032804647268905,8.855305466237942,7.466237942122186,0.21864951768488747,40049568,40049568,59907072,361.58742129166666,motion,seen_transfer,0.9
0003,intermittent,marked_lineage,1244,2.1038162973500696,3.069550625001704,1.5372965207448914,13.427652733118972,11.57556270096463,0.33520900321543406,22147472,15073808,41409536,261.191231625,motion,seen_transfer,0.9
0003,intermittent,marked_asymmetric,1244,2.0035475397507514,2.902652080835462,1.5157235829097302,13.919614147909968,8.884244372990354,0.30064308681672025,26001672,17663768,44866560,243.10048,motion,seen_transfer,0.9
0003,intermittent,marked_gaussian_evidence_guarded_scalar,1244,2.047397831577404,2.971387238380114,1.5167589753218043,14.266881028938906,9.318327974276528,0.3082797427652733,39653920,27076928,59776000,234.7957875,motion,seen_transfer,0.9
0003,intermittent,marked_gaussian_evidence,1244,2.0328252358737884,2.9498417535618677,1.4440380288320755,14.237942122186496,9.318327974276528,0.30305466237942125,39829568,27220192,59038720,259.41177675,motion,seen_transfer,0.9
0004,reliable,marked_lineage,133,5.439012429221129,5.734710607386242,1.255849400947789,45.473684210526315,4.87218045112782,0.5639097744360902,2117536,2117536,4392192,15.181931416666666,motion,seen_transfer,0.9
0004,reliable,marked_asymmetric,133,5.942351886297919,6.027053781860281,1.2165678055011562,48.721804511278194,3.789473684210526,0.6240601503759399,2167968,2167968,4392192,12.519871791666667,motion,seen_transfer,0.9
0004,reliable,marked_gaussian_evidence_guarded_scalar,133,5.942354678752133,6.027057283939688,1.216580368121522,48.721804511278194,3.789473684210526,0.6240601503759399,3296544,3296544,4474112,14.294415708333334,motion,seen_transfer,0.9
0004,reliable,marked_gaussian_evidence,133,5.870158915536854,5.999551636545895,1.1897603849025788,47.6390977443609,4.87218045112782,0.5939849624060151,3300064,3300064,4474112,19.472953333333333,motion,seen_transfer,0.9
0004,intermittent,marked_lineage,133,5.4426948597550195,5.7430518865730535,1.278705139244578,45.473684210526315,4.87218045112782,0.5789473684210527,2032216,1446896,4392192,11.403207208333333,motion,seen_transfer,0.9
0004,intermittent,marked_asymmetric,133,5.455239536213602,5.698340006851417,1.2805902292022755,45.473684210526315,3.789473684210526,0.5789473684210527,2124352,1516264,4392192,11.493489041666667,motion,seen_transfer,0.9
0004,intermittent,marked_gaussian_evidence_guarded_scalar,133,5.4552412337556655,5.776559323347863,1.2806019327297131,45.473684210526315,5.413533834586466,0.556390977443609,3220512,2300864,4441344,13.015257708333333,motion,seen_transfer,0.9
0004,intermittent,marked_gaussian_evidence,133,5.42792643457388,5.748552283543503,1.2525591302563188,44.932330827067666,5.413533834586466,0.5488721804511278,3221920,2300160,4474112,12.787501458333333,motion,seen_transfer,0.9
0006,reliable,marked_lineage,122,0.6192456172245715,1.0100674026520695,0.5555739553456139,3.540983606557377,0.0,0.04918032786885246,374576,374576,4028928,8.31116025,motion,seen_transfer,0.9
0006,reliable,marked_asymmetric,122,0.5953991980313903,0.9807809411688662,0.5585561131101386,2.9508196721311477,0.0,0.040983606557377046,395944,395944,4028928,4.970896291666667,motion,seen_transfer,0.9
0006,reliable,marked_gaussian_evidence_guarded_scalar,122,0.5953976887263275,0.980778326924685,0.558552795890262,2.9508196721311477,0.0,0.040983606557377046,597408,597408,4028928,6.121670291666667,motion,seen_transfer,0.9
0006,reliable,marked_gaussian_evidence,122,0.59704784847385,0.984071775816985,0.5660705878818529,2.9508196721311477,0.0,0.040983606557377046,597408,597408,4028928,4.540017375,motion,seen_transfer,0.9
0006,intermittent,marked_lineage,122,0.6240962786952888,1.018691438446708,0.5769848098716158,3.540983606557377,0.0,0.04918032786885246,371984,291752,4028928,3.9333552083333334,motion,seen_transfer,0.9
0006,intermittent,marked_asymmetric,122,0.6002836716437283,0.9894634799214393,0.5800082482602819,2.9508196721311477,0.0,0.040983606557377046,395248,309440,4028928,3.2336898333333335,motion,seen_transfer,0.9
0006,intermittent,marked_gaussian_evidence_guarded_scalar,122,0.6002825745997052,0.9894615797547578,0.5800054732744027,2.9508196721311477,0.0,0.040983606557377046,596352,466752,4028928,3.536270958333333,motion,seen_transfer,0.9
0006,intermittent,marked_gaussian_evidence,122,0.6017373641357727,0.9923907845759403,0.5867145009888248,2.9508196721311477,0.0,0.040983606557377046,596352,466752,4028928,3.9035659166666665,motion,seen_transfer,0.9
0007,reliable,marked_lineage,148,3.4060936795241092,3.27355729147424,1.45864153758456,8.27027027027027,17.027027027027028,0.3108108108108108,1168960,1168960,4887552,14.315073041666666,motion,seen_transfer,0.9
0007,reliable,marked_asymmetric,148,3.2356752936482183,2.8162793830650803,0.7262256860979319,11.675675675675675,7.783783783783784,0.22972972972972974,905920,905920,4887552,8.110091583333332,motion,seen_transfer,0.9
0007,reliable,marked_gaussian_evidence_guarded_scalar,148,3.2444936417467307,2.8399568518716225,0.7262261642320605,11.675675675675675,8.27027027027027,0.23648648648648649,1396352,1396352,4887552,7.8812175,motion,seen_transfer,0.9
0007,reliable,marked_gaussian_evidence,148,3.295304788166845,2.890963801762064,0.7262260046754843,11.675675675675675,8.756756756756756,0.24324324324324326,1294976,1294976,4887552,7.397725291666666,motion,seen_transfer,0.9
0007,intermittent,marked_lineage,148,5.048706400547922,5.103606991621737,2.7695731776629473,11.18918918918919,35.270270270270274,0.5574324324324325,1214752,813352,4887552,7.465053041666667,motion,seen_transfer,0.9
0007,intermittent,marked_asymmetric,148,5.115189693653863,4.938551713680172,2.5050775787735042,14.837837837837839,29.43243243243243,0.527027027027027,1182928,786112,4887552,6.0882456666666664,motion,seen_transfer,0.9
0007,intermittent,marked_gaussian_evidence_guarded_scalar,148,5.472130252942863,5.484493687478724,4.0084417179972185,12.64864864864865,36.486486486486484,0.5743243243243243,1523072,1014368,4887552,6.753768583333334,motion,seen_transfer,0.9
0007,intermittent,marked_gaussian_evidence,148,5.472130080210001,5.416011989217437,4.008441174507308,12.64864864864865,35.027027027027025,0.5878378378378378,1865216,1241760,4887552,7.672472875,motion,seen_transfer,0.9
0008,reliable,marked_lineage,410,5.8763407497348465,15.819422036539228,19.106257472782374,90.4390243902439,167.3560975609756,2.2487804878048783,28155920,28155920,35265024,516.1367344583333,motion,seen_transfer,0.9
0008,reliable,marked_asymmetric,410,5.22627534101995,14.047465926455747,16.535912066577147,84.64390243902439,127.49268292682927,1.7707317073170732,25251368,25251368,31332864,305.665933875,motion,seen_transfer,0.9
