sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0009,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.3561707980764304,-0.01808366078441992,-7.519996717156911,46.17142857142858,-38.17142857142858,1.0126984126984122,1001088,1001088,851968,6348,18992.883508399318,19534.35885235947,1.7297247245215612,1.7542081393106865
0009,reliable,marked_gaussian_evidence,marked_asymmetric,-0.07787505308760068,-0.22385875955173518,-0.6882538785486823,-10.285714285714278,-0.22857142857142776,-0.13968253968254007,5781400,5781400,7061504,6218,17688.813435898242,18593.572491888306,1.68664619875973,1.7292431412996252
0009,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.01774969105882196,-0.032175906727445636,0.017902466918837234,-2.3999999999999773,1.142857142857146,-0.04920634920634903,-39424,7744,-147456,6153,19317.682305857088,19208.04097286632,1.7718789641290433,1.766843483950003
0009,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.011699471156169317,-0.09467529000356478,-0.9288369823303704,-0.914285714285711,-3.3142857142857096,0.026984126984126888,-799744,-568128,-868352,6157,18770.46518836318,19270.332574694592,1.7460349841996055,1.769131144961061
0009,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.29799748191082553,-0.13326357087784046,-9.723830467506833,40.68571428571431,-34.171428571428564,0.9380952380952379,1153504,1012704,999424,6155,19151.614749799657,19801.67146374913,1.7639597445721673,1.7936466747342965
0009,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.06290657123712329,-0.1273992500864196,0.15664832984580812,-6.514285714285677,1.7142857142857153,-0.11428571428571477,5186600,3871600,5963776,6081,18990.75362243956,18375.613842191997,1.7671914351773856,1.7383348067552784
0011,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.18343898704655048,0.41757508133506605,0.6437877408981914,6.728971962616818,0.6728971962616832,0.10280373831775702,62304,62304,32768,1650,1181.6859653234205,1081.5725074753068,0.8462702359868416,0.8096286120061308
0011,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.0021086117861330855,-0.02397723841122268,-0.022773443880140576,2.018691588785046,-2.6915887850467293,0.009345794392523366,-54208,-54208,-65536,1652,1279.5785471165761,1278.2739106380209,0.8800927707801749,0.8796439925645922
0011,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.2383291397375933,0.454757705312554,0.7006644900054333,18.168224299065415,-11.439252336448597,0.07476635514018692,208032,208032,163840,1656,1279.6115483220644,1104.1148219194201,0.8790405494822732,0.8165390398349176
0011,reliable,marked_gaussian_evidence,marked_asymmetric,-0.0004024830621585096,0.03363677461654646,0.8619109836876078,2.018691588785046,-1.3457943925233646,0.009345794392523366,752360,752360,262144,1644,1131.1688600950672,1053.9424130419513,0.8294931689488262,0.800677333791773
0011,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.005308598802968856,0.03431436354775208,0.34070746252452544,0.0,0.6728971962616832,0.009345794392523366,5280,8096,0,1604,1252.722021343111,1220.5813754328046,0.8837413458831639,0.8723307613814681
0011,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.09664954282092664,-0.20526013529487308,-0.014821169815441237,-3.028037383177576,-2.018691588785046,-0.07943925233644855,-74976,-29216,-98304,1609,1350.6266544006203,1353.1857426679137,0.9161986258118259,0.9170661947949804
0011,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.34029640712310005,0.7192235759386314,0.004848778212353189,19.177570093457945,-6.392523364485982,0.12149532710280375,239008,162976,147456,1624,1351.5978401046375,1312.6237690638548,0.9122854157923317,0.8990360769458348
0011,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.1414835163857231,-0.27654598633015937,0.4559816819101803,-6.392523364485982,1.009345794392523,-0.07476635514018692,747440,564016,245760,1599,1205.9020478954924,1215.4659160019892,0.8684239345020051,0.8718608179089546
0012,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.1588900169434,0.4330748548092487,-0.3235389861150946,9.870967741935488,-1.741935483870968,0.016129032258064502,608608,608608,802816,2106,3377.6346832527256,3053.0895611688547,1.2664182323570317,1.2040390952976379
0012,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.10363524127505563,0.2346367669367666,2.055371383689959,6.387096774193566,-3.483870967741936,0.07258064516129026,-160512,-160512,-98304,2202,3598.6040074452667,3196.3300054378815,1.2783753042273387,1.2048060745657672
0012,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.44768134297159534,0.33847780835178654,0.14216516071779317,76.64516129032259,-70.83870967741936,0.016129032258064502,1925792,1925792,2523136,2202,3651.696605258452,2878.4198851249075,1.2877711358393,1.1433216195234845
0012,reliable,marked_gaussian_evidence,marked_asymmetric,-0.08578197628080542,-0.23909925748500527,0.1689786952745429,-6.967741935483872,-5.806451612903231,0.016129032258064502,1957264,1957264,2179072,2046,3215.134951907886,3203.5529651911197,1.2535647999514679,1.2513048839533993
0012,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.16039714998185595,-0.4282976217050827,0.25966825723377696,-7.548387096774206,-3.774193548387103,-0.10080645161290325,-301312,-50336,-163840,2144,4041.60257012045,4202.991642499793,1.3729806355575018,1.4001252013745618
0012,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.004456325469210043,-0.11518474496706688,-0.1490248152613951,-0.8709677419354875,-2.6129032258064626,0.056451612903225756,-222464,-123200,-245760,2236,4377.800530526654,4320.347882976466,1.3992395920051786,1.3900277154185428
0012,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.39667271057928133,0.5984577502875172,1.2822429042855106,58.935483870967744,-42.96774193548387,0.221774193548387,975744,822624,1277952,2237,4223.511535525948,3603.907578326317,1.374054156827335,1.2692694596713892
0012,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.551253312898127,-1.4642312295998998,-1.9583034901325362,-32.51612903225808,-11.903225806451616,-0.14919354838709675,937704,884848,1245184,2033,4001.2230840774505,4239.052241202662,1.4029031602248037,1.4439950186793626
0013,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.050727061558549114,-0.11113258776567392,0.013353352616991776,-1.617977528089888,0.0,-0.022471910112359494,45408,45408,0,1190,307.05956768414296,307.6482154510253,0.5079697335026389,0.5084564014187635
