sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0003,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.22979878670134646,-0.7580606329345656,-0.5968404290820608,18.909090909090935,-25.81818181818182,0.1717171717171717,152768,-97856,868352,2253,3881.869274690467,3961.732975746064,1.3126225387711592,1.3260564256159961
0003,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.07094228632564548,-0.1322566596535495,-1.5046691024827261,-7.818181818181813,-0.36363636363635976,-0.1439393939393936,1362512,1031576,1933312,2185,3808.7129051341444,4387.983630842427,1.3202719547071868,1.417120494052897
0004,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.1891637042965213,-0.46820313271858893,1.3570085338848799,-30.80000000000001,7.599999999999994,-0.5333333333333337,-9504,-9504,114688,7978,21415.90214176188,21508.379899224936,1.6384046461811448,1.641938300059238
0004,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.002419691349292208,0.008129417896522995,-0.03253266032330515,-0.4000000000000341,0.7999999999999972,-0.01666666666666705,-236544,-236544,-229376,8132,21973.002199659273,22005.50880511653,1.643788790794957,1.645004242497655
0004,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.19682625834216072,-2.3401317324413,19.17707612722956,47.19999999999999,-156.8,2.122222222222222,3218688,3218688,2260992,8126,21901.717677368033,14426.155947800267,1.6417260115480168,1.3324069897705433
0004,reliable,marked_gaussian_evidence,marked_asymmetric,-0.21537896348463814,-0.6240988432613683,2.390786103766125,-35.19999999999999,4.799999999999997,-0.5555555555555558,3700968,3700968,4636672,7954,21370.222353239184,21082.872467585064,1.6391236900750499,1.6280663403243096
0004,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.07550641300409744,-0.22301446369575473,1.5512695143653517,-13.399999999999977,1.6000000000000014,-0.20833333333333304,333696,319616,262144,7942,20011.657940889352,20131.7873559609,1.5873642463778088,1.5921215688184318
0004,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.010294501332388073,-0.02673734709459552,0.08096130832171156,-2.0,0.4000000000000057,-0.033333333333333215,-99616,-77088,-131072,8006,20566.113528718597,20567.196037875063,1.6027593590173281,1.6028015395403818
0004,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.3053411438797573,-1.2515738208243583,18.561214210179344,56.19999999999999,-120.39999999999999,1.963888888888889,3444320,2678720,2015232,7986,20236.407910373797,13136.140440065403,1.591849698733395,1.2825350378152705
0004,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.06861232090395308,-0.23804463894440175,1.1462815256586012,-13.0,0.4000000000000057,-0.1861111111111109,4087384,3069280,4096000,7932,19980.80253443584,20173.12235612816,1.587139539583209,1.5947595390556522
0005,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.10860636394733447,0.03388504600815523,1.2445125597501345,-9.754838709677443,13.470967741935482,-0.1548387096774193,357984,357984,835584,8386,8558.96795042316,8478.015799959772,1.0102602630021098,1.0054713071403099
0005,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.03538762077679802,0.047054025689096335,-2.5799064029230294,7.199999999999989,-2.787096774193543,0.08064516129032251,-92224,-92224,229376,8476,9380.063239407762,10464.9533160099,1.0519798206766484,1.1111512358367752
0005,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.06100852514703892,-0.346837014265029,-4.8696202099009405,33.445161290322574,-35.30322580645161,0.1225806451612903,279488,279488,180224,8458,8847.735298444672,10564.444268658068,1.0227799839340521,1.1176079637916154
0005,reliable,marked_gaussian_evidence,marked_asymmetric,-0.18056014494720696,-0.24349200786365088,1.813441903185943,-17.65161290322581,12.309677419354841,-0.2225806451612904,5283840,5283840,5816320,8292,7695.780605776772,7742.078211572647,0.9633779289467671,0.9662714113399856
0005,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.006372016204984732,0.19725942287138487,1.3022701752793324,-7.896774193548367,13.122580645161293,-0.08225806451612905,708928,440352,1507328,8149,10308.61137386688,10183.321053816384,1.1247290820009705,1.117873237893754
0005,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.023526328431841215,0.014778881339383432,-1.2756149742341982,1.6258064516129025,0.34838709677420354,0.04354838709677411,33440,-1056,147456,8200,10950.537438574309,11638.905802216028,1.1556086686019997,1.191376832227238
0005,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.00718529974959381,-0.34813292873480606,-5.4962272476809915,23.80645161290323,-30.19354838709677,0.08225806451612905,274560,278784,311296,8214,10627.589093584342,12479.985543508235,1.1374702009054722,1.2326213672701432
0005,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.02080186364854608,0.07899457413349431,1.1323391649577097,-11.612903225806434,12.65806451612903,-0.11774193548387091,5344800,3962928,5603328,8108,9723.14466824264,10254.513579033406,1.0950816553120668,1.1246066888547517
0006,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.07663396464837202,0.2046322845602262,1.0172763441531218,0.23684210526316463,3.078947368421055,0.0,465696,465696,409600,3436,2863.641867615209,2142.3709259114444,0.9129201103841951,0.7896247553995305
0006,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.00186103777767066,0.012116441952773727,0.2275066389368856,-0.23684210526315042,1.1842105263157947,0.03947368421052633,90112,90112,49152,3464,2787.2482864095873,2767.9827177380125,0.8970133093433041,0.8939078382951327
0006,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.8707169701174848,-1.8476146813951306,2.191464904764657,21.789473684210527,-59.684210526315795,-0.6381578947368423,743424,743424,458752,3464,2653.823795920217,1416.7404698876828,0.8752801920108906,0.6395230590363177
0006,reliable,marked_gaussian_evidence,marked_asymmetric,0.08643316973143023,0.22937585106062208,0.8029122583192256,-1.4210526315789451,5.44736842105263,0.009868421052631415,3225592,3225592,1884160,3426,2885.4873182024107,2220.8699834568315,0.9177320643387551,0.8051334827957091
0006,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.07974511951118846,0.24569875916792405,0.013211754877280324,0.11842105263157521,7.223684210526315,0.06578947368421062,-250624,-241472,-344064,3448,1396.6563309233868,1391.101634585829,0.6364453951338332,0.6351785183473257
0006,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.03328599559097967,0.059145286586732126,-0.30603798844521446,0.5921052631578902,0.47368421052631504,0.008223684210526327,-169312,-140800,-114688,3450,1398.6375121288863,1456.4656902771576,0.6367120050923044,0.6497414625805233
0006,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.6583861232426393,-1.5399697225893174,-0.6564070730552172,18.710526315789473,-47.131578947368425,-0.42105263157894735,208032,233024,65536,3460,1403.1778392764368,1443.8537552071505,0.6368223677875778,0.6459866664113566
0006,intermittent,marked_gaussian_evidence,marked_asymmetric,0.05425004496202135,0.15590691730053408,-0.3993767777136146,-1.5394736842105203,6.1578947368420955,0.050986842105263275,2503864,1906656,999424,3426,1404.8745011087346,1539.8180368895328,0.6403613119018953,0.6704108308375982
0007,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.02063893547490414,-0.04396547479335133,0.05869787389576686,4.561085972850677,-3.2579185520361946,0.11764705882352944,302016,302016,868352,5516,4635.6733288586565,4395.962690549903,0.9167359935957959,0.8927191892533248
0007,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.05676303365054203,-0.20382873036007076,0.4211420552642995,0.9773755656108563,-5.864253393665159,-0.040723981900452344,-1041920,-1041920,-999424,5494,4437.165426027215,4311.966043794801,0.8986870480154358,0.8859176181638233
0007,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.5007783473074867,-0.9239736219581065,2.2898340175257044,24.76018099547511,-28.669683257918557,-0.2171945701357465,634304,634304,-65536,5524,4598.928826198456,3417.5717826621294,0.9124341034599994,0.7865602369016783
0007,reliable,marked_gaussian_evidence,marked_asymmetric,-0.08237930694025009,-0.4542495268156035,-4.725343329925138,-7.8190045248868785,5.212669683257921,0.0904977375565611,1655808,1655808,2293760,5416,4252.253338646071,6459.444340866288,0.8860744984123622,1.0920895523094007
0007,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.1409015926053474,0.33713519321286434,-0.566050257086566,3.74660633484163,3.74660633484163,0.07692307692307687,59136,67232,278528,5042,12960.043014998737,13060.147360565868,1.6032520386280757,1.609431947639563
0007,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.09798410018807013,0.3618098485448513,2.218561893796828,4.072398190045249,1.303167420814475,-0.002262443438914019,-795872,-624096,-1130496,5031,12907.565189562665,11872.583626379725,1.60175100405239,1.5361918615769898
0007,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.17053844193387313,-0.32023195810039695,-11.22349757640928,39.09502262443441,-20.85067873303167,0.2624434389140271,651904,-28864,-180224,5046,12946.774353523062,11728.132028617718,1.6017958580829434,1.5245469381916217
0007,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.01596470131660288,0.05739861141782043,-3.7740203426304575,3.9095022624434534,5.212669683257914,-0.013574660633484115,1672032,1156744,2228224,4998,12479.52936761987,12584.091576734023,1.5801596866703458,1.5867657185372435
0008,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.02960863364127353,-0.08197185182668587,-0.2701008952087376,-1.3440000000000003,0.7679999999999989,-0.0026666666666666505,-1026432,-1026432,-2818048,10700,2011.9217468297015,2126.1096405237213,0.4336243417950247,0.44575984067989416
0008,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,1.4634574485583585e-07,6.119524429415435e-07,7.444157465119616e-06,0.0,0.0,0.0,-352,-352,0,10720,2113.0665226869896,2113.0609395688903,0.44397569125995684,0.4439751047260431
0008,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.03472821085304134,0.07831718719421854,0.07095493338202097,1.7279999999999998,0.0,0.023999999999999994,2888160,2888160,4325376,10720,2113.0665226869896,2055.6868703656573,0.44397569125995684,0.4379061942039294
0008,reliable,marked_gaussian_evidence,marked_asymmetric,0.008553773700117895,0.022914529735051925,0.12987812159489032,0.0,1.5359999999999996,0.021333333333333343,4913896,4913896,4325376,10712,1914.7290148680825,2014.411045325564,0.4227838382729257,0.4336494151781059
0008,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.020437011584006903,-0.05338172407725317,-0.13550377287909665,-0.6720000000000006,0.38400000000000034,0.001333333333333353,-1229184,-922240,-4194304,10663,2105.4329933505505,2117.3477460643126,0.4443559579057313,0.44561150063344845
0008,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.009622964504779397,0.025887745324364442,-0.004277210458728309,0.28800000000000026,0.0,0.0040000000000000036,-51040,-45056,-163840,10679,2206.3066132034164,2206.300542041421,0.45453532426853793,0.45453469888866815
0008,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.030098596860048676,0.0734702565906602,0.11510667704034994,1.5359999999999996,0.0,0.021333333333333343,2264416,1629408,3391488,10673,2202.8776992441526,2112.892477954785,0.4543096256357516,0.44493384611659453
0008,intermittent,marked_gaussian_evidence,marked_asymmetric,0.01195815876136097,0.03754468867103533,0.17371792734225622,0.0,1.5359999999999996,0.021333333333333343,5318248,3774512,6963200,10671,2007.1849453794744,2074.762732579305,0.4337017110322789,0.440942194606161
