time,receiver,formation,birthTime,birthLocation,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,retained,selectedForOutput,mixtureUsed,fallbackReason
84,23,4,1,4,-0.67192028909,-0.000402097320922,0.338066989387,0.337977014833,1,0,0,
84,23,4,1,5,-4.0527125295,-7.06901894532e-06,0.0170784390201,0.0170783203545,1,0,0,
84,23,4,1,6,-4.08842855246,-1.04149262015e-06,0.0164891099189,0.0164890930288,1,0,0,
84,23,4,1,7,-3.63020717686,-2.46132003667e-11,0.0258260256412,0.0258260256406,1,0,0,
84,23,4,1,8,-3.99724922967,-1.63845115253e-09,0.0180348604858,0.0180348604568,1,0,0,
84,23,4,1,9,0.685294401747,-0.00914706216436,0.664919326775,0.662878281805,1,1,0,powered-gm-normalizer-exceeds-one
84,23,4,1,10,-3.69709988803,-0.00292671906548,0.0241953986063,0.0241263949639,1,0,0,powered-gm-normalizer-exceeds-one
84,23,4,1,11,1.58195021165,-0.00285974762008,0.829480538206,0.829075666932,1,1,0,
84,23,4,1,12,-4.29075188031,-0.0036744152933,0.0135096155913,0.0134607337043,1,0,0,powered-gm-normalizer-exceeds-one
84,23,4,1,13,4.84931546762,-0.218386377804,0.992227152292,0.99034836171,1,1,0,powered-gm-normalizer-exceeds-one
84,23,4,1,14,4.89612744893,-0.240622178097,0.992579991842,0.990580464025,1,1,0,powered-gm-normalizer-exceeds-one
84,23,4,1,15,5.50996352349,-0.120105351324,0.995970051226,0.995458102558,1,1,0,powered-gm-normalizer-exceeds-one
84,23,4,1,16,5.62916235169,-0.404451533084,0.996421270751,0.994646893883,1,1,0,powered-gm-normalizer-exceeds-one
84,24,4,1,1,-3.79978979276,-5.04568930637e-07,0.0218857703448,0.0218857595436,1,0,0,
84,24,4,1,2,-4.58271110037,0,0.0101235965393,0.0101235965393,1,0,0,
84,24,4,1,3,-4.03522305462,-5.17157725355e-06,0.0173745239406,0.0173744356483,1,0,0,
84,24,4,1,4,-0.60760195458,-6.23904187584e-05,0.352606418373,0.352592176323,1,0,0,
84,24,4,1,5,-4.04608996469,-1.87547755104e-11,0.0171899667436,0.0171899667433,1,0,0,
84,24,4,1,6,-4.08335225893,-6.89251308117e-06,0.0165716356612,0.0165715233342,1,0,0,
84,24,4,1,7,-3.63012034145,-1.09150093408e-08,0.0258282104268,0.0258282101522,1,0,0,
84,24,4,1,8,-3.99489986443,-5.16479757096e-06,0.01807651396,0.0180764222864,1,0,0,
84,24,4,1,9,0.457921765273,-0.00137667587684,0.612521045451,0.612194255986,1,1,0,
84,24,4,1,10,-4.09295127554,-0.00256889338327,0.0164159240939,0.0163744970937,1,0,0,
84,24,4,1,11,1.64202355715,-0.007995606891,0.837810095144,0.836720680681,1,1,0,
84,24,4,1,12,-4.26653608077,-0.00227664195859,0.0138361732533,0.0138051434382,1,0,0,
84,24,4,1,13,2.85646351619,-0.0335509837732,0.945651830084,0.943901488835,1,1,0,powered-gm-normalizer-exceeds-one
84,24,4,1,14,2.81531281814,-0.0361860966281,0.9434977126,0.94153739361,1,1,0,powered-gm-normalizer-exceeds-one
84,24,4,1,15,3.16720571727,-0.113969230897,0.959581347432,0.954922049384,1,1,0,powered-gm-normalizer-exceeds-one
84,24,4,1,16,3.11641254344,-0.149098874791,0.957564692519,0.951075430792,1,1,0,powered-gm-normalizer-exceeds-one
151,1,1,1,1,-3.84767323584,-0.303180822975,0.0208838685693,0.0155067129025,1,0,0,
151,1,1,1,2,-4.492526796,-0.0428313490163,0.0110684456551,0.0106093018804,1,0,0,
151,1,1,1,3,-4.14726248864,-0.0042071253425,0.0155616382438,0.0154973184825,1,0,0,
151,1,1,1,4,-4.15399291771,-0.228260119123,0.0154588670841,0.012342918736,1,0,0,
151,1,1,1,5,-3.67018024956,-1.36097961624,0.0248391777273,0.006488850643,0,0,1,
