x,input_left_intensity,input_right_intensity,kla_intensity,mil_intensity,conditional_ga_intensity
-4.22,0.15163452647331224,1.5291912966893162e-12,2.305250557639145e-06,0.07581726323742072,4.334660887163212e-05
-4.21,0.15348812377087953,1.6436001206115623e-12,2.404493725708636e-06,0.07674406188626157,4.521272046424593e-05
-4.199999999999999,0.1553488439865705,1.766391970509724e-12,2.507758615528527e-06,0.07767442199416845,4.715445420523205e-05
-4.1899999999999995,0.15721639908970933,1.898167660063928e-12,2.6151968510627504e-06,0.07860819954580375,4.917466114461555e-05
-4.18,0.1590904955098208,2.0395700613612857e-12,2.726965281347629e-06,0.07954524775593018,5.127629058168488e-05
-4.17,0.16097083418815794,2.1912869758070923e-12,2.843226140269171e-06,0.08048541709517461,5.346239306935249e-05
-4.16,0.16285711063260755,2.354054195757363e-12,2.9641472104277098e-06,0.0814285553174808,5.573612349537148e-05
-4.15,0.16474901497597974,2.5286587691752514e-12,3.0899019911639987e-06,0.0823745074892542,5.810074424180187e-05
-4.140000000000001,0.16664623203768658,2.7159424803821743e-12,3.220669870821333e-06,0.08332311602020126,6.0559628424128755e-05
-4.13,0.16854844138881228,2.9168055607894255e-12,3.3566363033182754e-06,0.08427422069586454,6.311626321143447e-05
-4.12,0.1704553174205743,3.1322106443596137e-12,3.497992989106644e-06,0.08522765871185325,6.577425322902881e-05
-4.109999999999999,0.17236652941617592,3.363186983463091e-12,3.6449380605896743e-06,0.08618326470976956,6.853732404494573e-05
-4.1,0.17428174162604052,3.610834941764415e-12,3.797676272074791e-06,0.08714087081482567,7.140932574170635e-05
-4.09,0.1762006133464267,3.876330781803154e-12,3.956419194335908e-06,0.08810030667515152,7.439423657475673e-05
-4.08,0.17812279900140893,4.160931766021737e-12,4.121385413859427e-06,0.08906139950278492,7.749616671897542e-05
-4.07,0.18004794822821568,4.465981591148865e-12,4.292800736848453e-06,0.09002397411634083,8.071936210465155e-05
-4.0600000000000005,0.18197570596590862,4.792916177068758e-12,4.470898398058946e-06,0.09098785298535077,8.40682083443201e-05
-4.05,0.1839057125473865,5.143269832602917e-12,4.655919274541541e-06,0.09195285627626489,8.754723475184045e-05
-4.04,0.18583760379469297,5.51868182200181e-12,4.848112104362078e-06,0.09291880190010582,9.116111845509169e-05
-4.029999999999999,0.1877710111176096,5.920903357397961e-12,5.0477337103736005e-06,0.09388550556176525,9.491468860365297e-05
-4.02,0.18970556161550378,6.3518050440084935e-12,5.255049229111638e-06,0.0948527808109278,9.881293067281895e-05
-4.01,0.19164087818241074,6.813384806505123e-12,5.470332344884362e-06,0.09582043909461206,0.00010286099086529686
-4.0,0.19357657961531471,7.307776326691677e-12,5.693865529127993e-06,0.09678828981131124,0.0001070641806119083
-3.9899999999999998,0.1955122807255997,7.837258024454738e-12,5.925940285097261e-06,0.09775614036671848,0.00011142798117260816
-3.98,0.1974475924536342,8.404262615882892e-12,6.166857397959625e-06,0.09872379623101922,0.00011595804833911285
-3.9699999999999998,0.1993821219864528,9.011387284492943e-12,6.416927190361147e-06,0.09969106099773209,0.00012066021724041446
-3.96,0.20131547287849372,9.66140450366254e-12,6.676469783530242e-06,0.10065773644407756,0.00012554050725242582
-3.9499999999999997,0.20324724517535128,1.0357273550655415e-11,6.945815363985106e-06,0.10162362259285428,0.00013060512701299385
