time,repair_event,fixed_route_messages,causal_route_messages,fixed_eospa,causal_eospa,fixed_rmse,causal_rmse,fixed_interformation_disagreement,causal_interformation_disagreement
58,0,48.0,48.0,116.93697081018844,116.93697081018844,10.398382518160465,10.398382518160465,129.7561604583173,129.7561604583173
59,0,48.0,48.0,117.90971326258374,117.90971326258374,10.075127746194928,10.075127746194928,133.97924575674998,133.97924575674998
60,0,48.0,48.0,118.6227571038142,118.6227571038142,9.628838183148043,9.628838183148043,126.82884125146272,126.82884125146272
61,0,48.0,48.0,118.74491560504536,118.74491560504536,9.977253184714076,9.977253184714076,124.120133586732,124.120133586732
62,0,48.0,48.0,118.20362997125422,118.20362997125422,9.78736436514204,9.78736436514204,129.84325041362897,129.84325041362897
63,0,48.0,48.0,118.75852238793959,118.75852238793959,9.757290093364158,9.757290093364158,129.81141362471712,129.81141362471712
64,0,48.0,48.0,119.04061335073216,119.04061335073216,9.76416717115137,9.76416717115137,132.43032733191671,132.43032733191671
65,0,48.0,48.0,119.58556942364616,119.58556942364616,9.75358485036347,9.75358485036347,126.98688864112988,126.98688864112988
66,0,48.0,48.0,120.09715264936176,120.09715264936176,9.304424722205034,9.304424722205034,131.73450737165777,131.73450737165777
67,0,48.0,48.0,119.75884723761122,119.75884723761122,8.852215653435488,8.852215653435488,131.75778436370908,131.75778436370908
68,0,48.0,48.0,119.72796829482353,119.72796829482353,8.706086076502277,8.706086076502277,124.33329950385921,124.33329950385921
69,0,48.0,48.0,120.43959738443652,120.43959738443652,8.199558121534482,8.199558121534482,124.14985903555974,124.14985903555974
70,1,46.0,48.0,121.20206163751833,121.72621351375574,8.594344875779365,8.541930935761158,124.98188460744524,132.77715839930775
71,0,46.0,48.0,121.21104314984898,121.73665145019525,8.720761475900153,8.21642781965961,131.95141960482007,124.24530098063074
72,0,46.0,48.0,121.50745259029287,122.52530845857687,9.06603443762525,8.640173963087248,135.63465709083331,136.657073271935
73,0,46.0,48.0,122.03703100973416,123.60905303052414,8.916571097784841,8.561633822164811,136.66452851049112,139.46969548445557
74,0,46.0,48.0,122.52646428965727,124.32200345395951,8.947884298084084,8.285811091224296,142.68946125767602,142.69629196868976
75,0,46.0,48.0,122.98533383366998,124.6061273831099,9.824574165929612,8.40730687808304,142.7035123481542,137.89937230602305
76,0,46.0,48.0,123.24660388971655,124.1124865502013,10.729288997276663,8.238056447659222,139.89766289480812,138.05707473467055
77,0,46.0,48.0,123.48780822265066,123.11021161214877,10.077978604900787,8.631565168563165,142.73403379879454,140.60084710425278
78,0,46.0,48.0,123.58294774919081,121.11983515114288,10.084481838554458,8.29247834741068,138.42832984915788,135.07491331251333
79,0,46.0,48.0,123.80200099129509,121.13748058744318,9.438081074041856,7.743691566893519,142.74359063479338,139.4189588260818
80,0,46.0,48.0,124.52460490884683,120.83090690417652,8.581586864825134,7.3418316509623915,144.7825767563813,137.48442023062321
81,0,46.0,48.0,124.94825451063171,120.58131097075365,7.73486250942674,6.727527036097613,143.9048598258544,135.1356309170864
82,0,46.0,48.0,125.84391416694041,122.5321464137924,7.825561454888363,7.030585444012132,145.5998645810753,138.73852276245256
83,0,46.0,48.0,125.27522313609948,122.51006680652851,7.559107531542422,7.2324297447867565,143.9337800809343,140.60423959327207
84,0,46.0,48.0,123.73274465003745,121.23852786204839,7.954060661599162,7.671862765933578,143.9141680784596,140.60009881638882
85,0,46.0,48.0,123.79279026358023,121.02157524211755,8.056343611315405,8.037777740490588,142.3636408680704,136.67158457669038
86,0,46.0,48.0,122.86582298894746,120.85742185315284,8.262617398680717,7.993518476841996,141.43550958188925,132.3679551438331
87,0,46.0,48.0,123.11884164543619,120.60754960760728,7.889024292995811,7.529896921076764,141.44361786442678,132.62990882360774
88,0,46.0,48.0,123.20979716166362,120.25655825475364,7.367436957156806,7.097669355732143,141.45513113214582,129.01531825641695
89,0,46.0,48.0,122.51221751401805,119.37400152884624,7.555223141115906,7.318758557684024,143.1808499276126,120.75200892174297
90,0,46.0,48.0,121.59677086035708,118.15150885045078,7.596398535554479,7.051749876980549,139.37763690472346,124.37778583697803
91,0,46.0,48.0,121.39171104913906,117.52719082547328,7.785045077641165,6.795900653014601,139.33328926518172,124.38159046631047
92,0,46.0,48.0,121.60857486896941,117.47515189747195,7.922968078978986,7.005169821702483,141.0732244636605,125.97382982193432
93,0,46.0,48.0,121.39144790842225,117.49533724192564,8.550969374993523,7.481694177560011,141.10602647804092,125.95108072746642
94,0,46.0,48.0,121.31492153119382,117.71090482311045,8.016705930464294,7.127357135323153,141.0809222131617,125.90119545955172
95,0,46.0,48.0,121.51479378600645,117.97014350060526,7.914850225755718,6.784857211042218,139.361851522951,125.94114432824126
96,0,46.0,48.0,121.92818032890727,117.48474101286446,8.070594916687181,7.138837478588031,141.08211944432648,123.83449830332198
97,0,46.0,48.0,121.69550427846191,116.81061094275871,7.846148871677685,7.193793135867957,141.1110991187587,123.83077821010774
