time,ospa_fixed,ospa_balanced,ospa_cardinality,rmse_fixed,rmse_balanced,rmse_cardinality,card_fixed,card_balanced,card_cardinality
44,2.596298324079027,1.807849758116801,1.710148337528892,4.062619332596395,1.406119277120354,1.486281867654367,0.6,0.2,0.075
45,2.450800720008178,1.903570437783485,1.542533693114093,1.983910266231625,1.398837589576253,1.41320721142402,0.55,0.3,0.025
46,2.528628376615317,1.694120766896105,1.522048897374534,1.616631938363543,1.388989697266541,1.38724077472719,0.775,0.175,0.025
47,2.413041286236866,1.590205930784363,1.458785072358903,1.672262823278257,1.323656471369445,1.341626532608121,0.65,0.175,0.025
48,2.29474194956517,1.544245568800974,1.475279467821753,1.861671513765811,1.390211041537058,1.391358169020121,0.45,0.05,0
49,2.257230169226038,1.541243984964709,1.504381960147363,2.018107134842354,1.38872376816235,1.381370310206612,0.35,0.05,0.025
50,2.336681088728298,1.702461009723899,1.890569370449466,3.633189421149275,1.533303901514267,2.195796044590412,0.4,0.05,0.2
51,2.381461669345214,1.776472693418409,1.661021383619191,3.522117089492783,1.509351947885251,1.499020424472797,0.475,0.125,0.025
52,2.181300869901853,1.794818781803044,1.598174341236419,1.641636251315279,1.443423887917793,1.517083103606889,0.45,0.25,0
53,2.343192253030172,1.807448457658026,1.574941487943717,2.52978021084562,1.433545266896135,1.480104286221091,0.575,0.225,0
54,2.509105682053457,1.879702938208565,1.633244472897043,2.862068243808304,1.467356096463869,1.571209820959958,0.8,0.325,0
55,2.42688826379188,1.805997056825408,1.573077605984329,3.032042304804464,1.722192097510211,1.495718650523244,0.625,0.2,0
56,2.323549871378302,1.738676755711092,1.533179096805455,2.169792355781672,1.458742702505402,1.455688464752532,0.6,0.175,0
57,2.027325269445612,1.454660583451662,1.332688154652853,2.495058594258075,1.258695837845657,1.250025168840622,0.475,0.075,0
58,2.376146852857368,1.691191616441098,1.897413389341264,3.338191143966246,1.55517873951948,1.536935714176846,0.575,0.05,0.225
59,2.214316916349288,1.88848015154417,1.78348963707659,2.355755495344448,1.505739406696272,1.556282018954554,0.45,0.225,0.125
60,2.291093329765625,1.939174404549923,1.714164471701414,1.997910574666561,1.534408423392964,1.562593885723611,0.55,0.35,0.05
61,2.50589722911213,1.977169925883653,1.702688522044892,2.542353975355086,1.592488361526408,1.600177899670491,0.7,0.4,0.025
62,2.496408895173348,1.892315683381241,1.681961088736569,4.345219823835333,1.680762381720444,1.592440070684663,0.675,0.2,0
63,2.321851244357413,1.690715654674082,1.498178319635048,2.533634798239792,1.410329223567006,1.429841683051371,0.725,0.225,0
64,2.175881190026395,1.586863270711803,1.482972189411965,2.229103254916685,1.411961450173407,1.410666760276699,0.625,0.125,0
65,2.20250565202605,1.584518430785031,1.515013876581204,2.814581540002709,1.387802127292916,1.435677218056032,0.625,0.1,0
66,2.331928159260055,1.731403806211975,1.825862831786324,2.605669107054926,2.071474603227713,1.616379548444083,0.775,0.15,0.175
67,2.059853303969445,1.510333036582449,1.728145309122946,1.940098045273913,1.368604902258094,1.444746503223473,0.45,0.05,0.2
68,2.13703543741746,1.618399668634153,1.607939800667747,2.645480485107867,1.303684113875541,1.389245756982754,0.525,0.175,0.075
69,2.490159049629669,2.033261817117158,1.638356765459263,2.488793683052528,1.549920454075831,1.534458748164201,0.9,0.4,0
70,2.685116974459431,2.047620729276109,1.655168609616219,2.173679716523355,1.881038949600198,1.568561777903855,1.3,0.375,0
71,2.72711203871062,1.958558036482532,1.471288291977734,1.942734233172456,2.101123735292235,1.382500781089261,1.475,0.4,0
72,2.799273767905811,1.947583987823651,1.556736539965158,2.129685427410235,2.66982324953958,1.476660438351427,1.5,0.275,0
73,2.929374016512901,1.951315538451835,1.619289262069261,3.499035661324759,1.971977209883363,1.511849308639558,1.5,0.35,0.025
74,3.062735351135916,2.02500326839104,1.661101157339015,7.017839933450473,3.373658584724892,1.571210202264402,1.6,0.35,0
75,3.28654528333312,1.942934881741775,1.870904249146335,7.820831912891959,1.780529980822776,1.606321400802459,1.9,0.275,0.2
76,3.326750435881005,1.979984168213863,1.91183849004914,6.070952430633237,1.719933520392952,1.637567391637384,1.825,0.3,0.175
77,3.241864684462158,1.980397723772251,1.902529327904865,4.327504014539127,1.674907107291268,1.622760395676878,1.75,0.275,0.275
78,3.160987548413292,1.767388264010499,1.803760416415172,4.54586339591733,1.522071985597359,1.71163799275799,1.9,0.2,0.275
79,3.265877753154323,1.871559711707006,1.732874255247677,4.215041204580873,1.625986428976708,1.510463406763877,2.05,0.225,0.125
80,3.32932600944594,1.985216536992344,1.772476825881685,2.945774231084337,1.733041578065222,1.652170371704038,2.25,0.25,0.025
81,3.460938615649261,1.876959159430028,1.670315627927871,3.31482680088471,1.767274350113982,1.592533531828142,2.475,0.225,0
82,3.390681773574472,1.878309708137337,1.66675186427052,2.452551844442078,1.561607818959476,1.494236178283574,2.4,0.3,0.1
83,3.174043144894998,1.786014156220092,1.542049077237884,1.956802502885453,1.435585314030863,1.481391439126623,2.075,0.275,0
84,3.240701294791649,1.947058928486301,1.717922571977998,2.056894381448333,1.567543411868799,1.605262033312855,2.15,0.325,0.025
85,3.246253805302321,1.988199877198519,1.710993255509605,3.541149084027343,1.580832641672334,1.577428951175647,2.025,0.425,0.05
86,3.359177992050721,2.074336040501474,1.726841355365134,4.384833095341334,3.632802273011754,1.61836259112627,2.1,0.425,0.05
