panel,cohort,condition,candidate,reference,metric,scene,unit_index,unit_id,difference
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,6,2907,0.13856300145246536
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,7,2908,0.06879184228454649
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,8,2909,0.14737431126512335
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,9,2910,0.04341574135294224
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,10,2911,0.06944759368187303
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,11,2912,0.18093307623116034
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,12,2913,0.1034856681553491
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,13,2914,0.22438361784547134
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,14,2915,0.22448784065084698
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,15,2916,0.043319206526045706
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,16,2917,0.025780502683071305
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,17,2918,0.09416366144834354
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,18,2919,0.13267550714501464
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,19,2920,0.1988542451994625
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,0,2901,0.010062253026747237
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,1,2902,0.05163375356540456
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,2,2903,-0.02516003224589114
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,3,2904,0.025814048795933298
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,4,2905,0.025393905250544357
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,5,2906,0.008542946056859013
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,6,2907,-3.344414045702848e-08
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,7,2908,0.03427294331940467
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,8,2909,0.0346020144843755
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,9,2910,0.01732642496348602
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,10,2911,0.017397861988619368
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,11,2912,0.03422079242575271
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,12,2913,0.043227385498023074
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,13,2914,0.025923857414282714
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,14,2915,1.6653345369377348e-15
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,15,2916,0.008619529943415749
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,16,2917,0.008584349936183622
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,17,2918,0.008740626294377885
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,18,2919,0.037715345057879546
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,19,2920,0.0171476543409651
d,reserved,reliable,conservative_recency,lineage,false2,,0,0005,-8.626728110599082
d,reserved,reliable,conservative_recency,lineage,false2,,1,0010,-0.6050420168067205
d,reserved,reliable,conservative_recency,lineage,false2,,2,0015,-4.4689655172413865
d,reserved,reliable,conservative_recency,lineage,false2,,3,0020,-0.7854545454545416
d,reserved,reliable,conservative_recency,lineage,false2,,4,0025,-11.83999999999999
d,reserved,reliable,conservative_recency,lineage,false2,,5,0030,1.4304635761589353
d,reserved,reliable,conservative_recency,lineage,miss2,,0,0005,6.304147465437779
d,reserved,reliable,conservative_recency,lineage,miss2,,1,0010,6.050420168067234
d,reserved,reliable,conservative_recency,lineage,miss2,,2,0015,1.4896551724137908
d,reserved,reliable,conservative_recency,lineage,miss2,,3,0020,-0.2618181818181853
d,reserved,reliable,conservative_recency,lineage,miss2,,4,0025,2.4000000000000004
d,reserved,reliable,conservative_recency,lineage,miss2,,5,0030,2.8609271523178847
d,reserved,reliable,confirmation_recency,lineage,false2,,0,0005,-4.3133640552995445
d,reserved,reliable,confirmation_recency,lineage,false2,,1,0010,2.4201680672268893
d,reserved,reliable,confirmation_recency,lineage,false2,,2,0015,3.4758620689655118
d,reserved,reliable,confirmation_recency,lineage,false2,,3,0020,7.06909090909091
d,reserved,reliable,confirmation_recency,lineage,false2,,4,0025,-8.159999999999997
d,reserved,reliable,confirmation_recency,lineage,false2,,5,0030,16.688741721854306
d,reserved,reliable,confirmation_recency,lineage,miss2,,0,0005,-1.3271889400921708
d,reserved,reliable,confirmation_recency,lineage,miss2,,1,0010,12.705882352941188
d,reserved,reliable,confirmation_recency,lineage,miss2,,2,0015,-18.868965517241392
d,reserved,reliable,confirmation_recency,lineage,miss2,,3,0020,-18.327272727272728
d,reserved,reliable,confirmation_recency,lineage,miss2,,4,0025,-1.1199999999999992
