time,receiver,formation,predictedLabelCount,localLabelCount,fusedLabelCount,predictedMass,localMass,localUpdateMassChange,preEtaMass,fusedMass,poolingMassChangeFromLocal,spatialMassLoss,prunedMass,retainedNotOutputMass,localMapCount,outputMapCount,zeroPdLabelCount,zeroPdMaxAbsLocalChange,weakBeforeSpatialCount,normalizerFallbackCount
2,25,5,24,24,24,2.37619911119959,5.01666973988957,2.64047062868998,4.46759931870364,4.35113169918081,-0.549070421185928,0.116467619522833,0,1.15478723868866,5,4,20,6.93889390390723e-18,21,6
2,26,5,24,24,24,3.86078835813714,4.55091096867798,0.690122610540834,4.92948122783205,4.9110086189558,0.37857025915407,0.0184726088762455,0,1.12719973563264,4,5,20,6.93889390390723e-18,20,4
2,27,5,24,24,24,3.25034512254592,5.11684324154525,1.86649811899933,4.84558408684619,4.7935703955544,-0.27125915469906,0.0520136912917923,0,1.12860000000001,5,5,20,6.93889390390723e-18,20,1
2,28,5,24,24,24,2.41232646908714,2.56357194222478,0.151245473137641,4.93588388279589,4.6519114491221,2.37231194057111,0.283972433673791,0,1.16175748249761,2,4,20,6.93889390390723e-18,20,4
2,29,5,24,24,24,3.47580120852339,3.79621268134196,0.320411472818571,2.94730993893764,2.84998729546741,-0.848902742404321,0.0973226434702243,0,1.46046159941289,4,3,20,6.93889390390723e-18,24,3
2,30,5,24,24,24,2.64058675492216,4.2451894597673,1.60460270484514,3.99336272538703,3.93398957349556,-0.25182673438027,0.0593731518914624,0,1.18800000000002,4,4,20,6.93889390390723e-18,21,3
2,31,6,24,24,24,4.39365472314762,4.74971748865967,0.356062765512044,4.76547861036258,4.66382585846265,0.0157611217029174,0.10165275189993,0,1.18800000000001,4,4,20,6.93889390390723e-18,20,2
2,32,6,24,24,24,3.88721424264022,4.60606145041675,0.718847207776536,4.71039230704538,4.69265505891485,0.104330856628626,0.0177372481305307,0,1.18800000000001,4,4,20,6.93889390390723e-18,20,4
2,33,6,24,24,24,3.48546316261878,3.15860248306141,-0.326860679557366,4.26655740089455,4.17294388977984,1.10795491783314,0.0936135111147092,0,1.18800000000001,3,4,20,6.93889390390723e-18,20,4
2,34,6,24,24,24,2.98877269428205,3.5471007034643,0.558328009182254,3.21377705441943,2.98764722968118,-0.333323649044871,0.226129824738255,0,1.36758484371043,3,3,20,6.93889390390723e-18,21,7
2,35,6,24,24,24,4.01453850910015,4.59821122178884,0.58367271268869,3.81959232045851,3.68265277455219,-0.778618901330326,0.136939545906319,0,1.36143279993918,4,3,20,6.93889390390723e-18,21,1
