cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
development,0000,reliable,conservative_recency,147,3.171484713870764,3.9646648697192663,0.13829012908473984,18.612244897959183,16.653061224489797,0.35374149659863946,40.657297950913566,618,766112,4854528
development,0000,reliable,confirmation_recency,147,3.8534867072325,4.8910962674555964,0.15900317364211092,16.653061224489797,27.428571428571427,0.47619047619047616,46.74693305078061,626,689152,4854528
development,0000,reliable,mil_support,147,4.499193082102486,5.849082509205272,0.4134879161732899,14.204081632653061,40.6530612244898,0.6394557823129252,121.56544735494711,636,1916560,4854528.0
development,0000,reliable,tc_ospa2_w5,147,4.937785249963085,6.592918202681003,3.731181023361224,14.204081632653061,43.10204081632653,0.7006802721088435,1096.9672208681995,636,172048,4854528.0
development,0000,reliable,tc_ospa2_w10,147,4.618640170659561,6.05403327024119,5.149926734370771,18.612244897959183,30.857142857142858,0.6190476190476191,1514.0784599050069,618,323856,4854528.0
development,0001,intermittent,local,114,7.919784282968674,7.985772418820716,1.195030415366285,33.1578947368421,56.526315789473685,1.131578947368421,272.46693470351295,79,0,0
development,0001,intermittent,lineage,114,6.640465154781185,6.574837862383607,0.8111656261556263,23.05263157894737,46.73684210526316,0.8991228070175439,184.9457627634827,111,507952,3764736.0
development,0001,intermittent,qualified_exist,114,7.101120952344334,7.338679276755113,0.8332113634674999,21.789473684210527,60.94736842105263,1.043859649122807,189.97219087058994,115,472128,3764736
development,0001,intermittent,innovation_recency,114,8.469541979620777,8.275501230144078,0.8332112557011827,21.789473684210527,68.52631578947368,1.1666666666666667,189.97216629986963,115,472344,3764736
development,0001,intermittent,conservative_recency,114,6.09484107853619,5.960424206720853,0.8116536548953657,22.42105263157895,38.8421052631579,0.7982456140350878,185.05703331614328,113,480496,3764736
development,0001,intermittent,confirmation_recency,114,6.469542009617761,6.469076868977808,0.8332121185150339,21.789473684210527,47.68421052631579,0.8596491228070176,189.97236302142767,115,469264,3764736
development,0001,intermittent,mil_support,114,7.271869353373227,7.659405095003616,0.8926701466491589,21.789473684210527,66.63157894736842,1.1578947368421053,203.5287934360082,115,807056,3764736.0
development,0001,intermittent,tc_ospa2_w5,114,8.111127569436182,8.48553207154595,1.8399249511625682,25.57894736842105,73.89473684210526,1.2324561403508771,419.50288886506553,103,151984,3764736.0
development,0001,intermittent,tc_ospa2_w10,114,7.967604458341093,8.00649901113631,1.467665354132667,29.68421052631579,59.68421052631579,1.118421052631579,334.62770074224807,90,283392,3764736.0
development,0001,reliable,local,114,7.919784282968674,7.985772418820716,1.195030415366285,33.1578947368421,56.526315789473685,1.131578947368421,272.46693470351295,79,0,0
development,0001,reliable,lineage,114,5.799702465607114,5.519558897938303,0.8084597026100327,23.36842105263158,30.94736842105263,0.6842105263157895,184.3288121950874,110,571392,3764736.0
development,0001,reliable,qualified_exist,114,7.193531192082701,6.897881157712179,0.8374250780432799,22.105263157894736,49.89473684210526,0.8947368421052632,190.93291779386786,114,509712,3764736
development,0001,reliable,innovation_recency,114,7.19353119350528,6.9215385290409275,0.8374253943515803,22.105263157894736,50.526315789473685,0.9035087719298246,190.9329899121604,114,528072,3764736
development,0001,reliable,conservative_recency,114,5.151406750693783,4.944060582327795,0.8084582137828078,23.36842105263158,24.0,0.5877192982456141,184.32847274248013,110,516896,3764736
development,0001,reliable,confirmation_recency,114,6.764271083291219,6.431337717403865,0.8374081145981578,22.105263157894736,42.94736842105263,0.7982456140350878,190.92905012837997,114,503168,3764736
development,0001,reliable,mil_support,114,7.169478106447408,6.971778009478867,0.8899533487123141,22.736842105263158,51.78947368421053,0.9298245614035088,202.90936350640766,112,1092224,3764736.0
development,0001,reliable,tc_ospa2_w5,114,8.935452804074385,9.161413916311124,2.4419379842808855,24.63157894736842,81.47368421052632,1.3333333333333333,556.7618604160418,106,151984,3764736.0
development,0001,reliable,tc_ospa2_w10,114,8.479493813758776,8.3493706061265,1.7616525442308435,29.05263157894737,62.526315789473685,1.1491228070175439,401.65678008463226,92,283392,3764736.0
development,0002,intermittent,local,144,6.992066678712354,6.429493384293648,0.8555000574344414,35.5,36.25,0.5381944444444444,246.38401654111908,70,0,0
development,0002,intermittent,lineage,144,6.145490267505173,5.259824727503698,1.6668234897491583,23.75,23.0,0.5381944444444444,480.04516504775756,117,669200,4755456.0
development,0002,intermittent,qualified_exist,144,6.148642871696854,5.4999837056093535,1.6750340016967253,21.25,30.25,0.5555555555555556,482.40979248865693,127,504072,4755456
development,0002,intermittent,innovation_recency,144,6.154801970325969,5.451123746880784,1.6739245896518304,21.75,28.75,0.5416666666666666,482.0902818197271,125,609264,4755456
development,0002,intermittent,conservative_recency,144,6.11496336425763,5.22943793500035,1.6737882668165234,24.25,22.5,0.5243055555555556,482.05102084315865,115,493440,4755456
development,0002,intermittent,confirmation_recency,144,6.110304086388605,5.387391372233793,1.6879733967290944,21.25,27.5,0.5451388888888888,486.1363382579791,127,469936,4755456
development,0002,intermittent,mil_support,144,6.611187149967026,6.0649455233402465,0.9683745052497517,19.5,39.5,0.6736111111111112,278.8918575119286,134,1021344,4755456.0
development,0002,intermittent,tc_ospa2_w5,144,6.454212007508922,6.574818317359316,1.7042770935977634,20.5,52.5,0.625,490.8318029561559,130,128896,4755456.0
development,0002,intermittent,tc_ospa2_w10,144,6.292683005088678,6.234664336949046,1.6965436545709276,22.75,45.0,0.5798611111111112,488.6045725164271,121,238464,4755456.0
development,0002,reliable,local,144,6.992066678712354,6.429493384293648,0.8555000574344414,35.5,36.25,0.5381944444444444,246.38401654111908,70,0,0
development,0002,reliable,lineage,144,5.2046008233733225,4.720573345030569,0.9131053478878874,24.5,21.0,0.4791666666666667,262.9743401917115,114,511328,4755456.0
