sequence,role,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0025,reserved,reliable,mil_support,450,4.322435031772973,10.868040944739562,11.818497296233527,12.48,130.4,1.8244444444444445,10636.647566610169,8152,8969264,17613312,22.19285725,221
0025,reserved,reliable,tc_ospa2_w5,450,4.555771465105653,11.4029782762987,8.942721915242677,10.08,146.24,2.0644444444444443,8048.449723718408,8182,2375824,14860800,2.6561275833333333,0
0025,reserved,reliable,tc_ospa2_w10,450,4.50514655020647,11.280882890428094,10.553943221003102,16.16,133.92,1.8888888888888888,9498.548898902785,8106,4659984,14860800,3.644776541666667,0
0025,reserved,intermittent,local,450,5.517114671005388,13.448471386148512,12.539102709390809,101.44,84.96,1.8133333333333332,11285.19243845174,7040,0,0,4.959402291666667,77
0025,reserved,intermittent,lineage,450,4.253937608355176,10.489912193127356,8.004224660606635,14.48,117.12,1.6366666666666667,7203.8021945459695,8127,7015728,16204288,11.367353875,139
0025,reserved,intermittent,qualified_exist,450,4.270000532939029,10.508151731208308,8.350734177977623,10.64,120.88,1.6977777777777778,7515.660760179864,8175,6583504,16122368,10.672400875,107
0025,reserved,intermittent,conservative_recency,450,4.013577858781507,10.018943568152176,5.9497462759492254,14.08,115.28,1.6166666666666667,5354.771648354293,8132,6610336,15663616,10.887755333333333,131
0025,reserved,intermittent,confirmation_recency,450,4.23172506079884,10.483103746126448,9.120097980374817,12.56,118.88,1.6455555555555557,8208.088182337335,8151,6662752,16351744,12.302561708333334,121
0025,reserved,intermittent,mil_support,450,4.247691929123946,10.703213541035904,11.398235404968482,15.84,124.8,1.7244444444444444,10258.411864471636,8110,8959488,17662464,18.072920375,195
0025,reserved,intermittent,tc_ospa2_w5,450,4.463671881979744,11.037720612725142,10.245119739020444,21.12,122.96,1.8277777777777777,9220.607765118395,8044,2375824,14860800,1.8417815416666667,0
0025,reserved,intermittent,tc_ospa2_w10,450,4.422974089113863,10.950802169167234,11.364472246206072,26.4,113.04,1.6833333333333333,10228.025021585463,7978,4659984,14860800,2.5755207916666665,0
0030,reserved,reliable,local,151,6.525006662270396,14.497756677591255,12.995969940324946,136.3708609271523,72.71523178807946,1.8245033112582782,3924.7829219781333,1714,0,0,1.219006375,49
0030,reserved,reliable,lineage,151,4.968631024411723,10.646988539032797,3.682124027370709,69.13907284768212,58.64900662251656,1.5629139072847682,1112.0014562659546,1996,1881664,4986624,3.14087625,47
0030,reserved,reliable,qualified_exist,151,5.136072754101401,11.141534861580993,3.488687701902372,63.89403973509934,75.33774834437087,1.6688741721854305,1053.583685974517,2018,1682400,4986624,2.8735977916666666,46
0030,reserved,reliable,conservative_recency,151,5.066509071476594,10.798037191061944,3.3760105141446175,72.0,60.079470198675494,1.6754966887417218,1019.5551752716739,1984,1714016,4986624,3.083090208333333,45
0030,reserved,reliable,confirmation_recency,151,5.193938702403361,11.249678061906831,3.3234765687741485,66.75496688741723,75.33774834437087,1.7086092715231789,1003.6899237697927,2006,1703408,4986624,3.327388125,43
0030,reserved,reliable,mil_support,151,5.293652095264831,11.598389856305069,4.548201121731289,62.94039735099338,87.25827814569537,1.8344370860927153,1373.5567387628491,2022,2414560,4986624,3.646803333333333,69
0030,reserved,reliable,tc_ospa2_w5,151,5.591345486207739,12.50469626329219,8.568494626816234,65.32450331125828,104.90066225165563,2.0463576158940397,2587.685377298504,2012,759184,4986624,0.8182939166666666,0
0030,reserved,reliable,tc_ospa2_w10,151,5.474526080954485,12.04539207540204,12.765657249369083,72.95364238410596,82.01324503311258,1.913907284768212,3855.228489309462,1980,1479472,4986624,1.1292354583333333,0
0030,reserved,intermittent,local,151,6.525006662270396,14.497756677591255,12.995969940324946,136.3708609271523,72.71523178807946,1.8245033112582782,3924.7829219781333,1714,0,0,1.219006375,49
