condition,backend,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
reliable,GCE,13,1,predicted,57,66,56,False,False,0.11137311939468308,1.8691269856822856,0.0,False
reliable,GCE,13,1,local,51,60,50,False,False,0.1524290349740238,1.6560645652704618,5.85707650302556,False
reliable,GCE,13,1,posterior,47,57,46,False,False,0.17484203123545738,1.6560645652704409,5.857076503025539,False
reliable,GCE,13,1,fused,52,60,51,False,False,0.17484203123545738,1.6560645652704409,5.857076503025539,False
reliable,GCE,13,1,target_local,23,27,22,False,False,0.02529004298868527,1.6560645652704618,5.85707650302556,False
reliable,GCE,13,1,target_posterior,23,27,22,False,False,0.0054189636780206055,1.6560645652704409,5.857076503025539,False
reliable,GCE,13,2,predicted,47,56,45,False,False,0.11137311939468308,1.8691269856822856,0.0,False
reliable,GCE,13,2,local,20,19,17,False,False,0.2518185120592533,0.09447473631735193,8.977479774997306,False
reliable,GCE,13,2,posterior,47,57,46,False,False,0.17484203123545738,1.6560645652704409,5.857076503025539,False
reliable,GCE,13,2,fused,52,60,50,False,False,0.17484203123545738,1.6560645652704409,5.857076503025539,False
reliable,GCE,13,2,target_local,2,0,0,False,False,0.0,0.0,0.0,False
reliable,GCE,13,2,target_posterior,23,27,22,False,False,0.0054189636780206055,1.6560645652704409,5.857076503025539,False
reliable,GCE,14,1,predicted,57,67,56,False,False,0.17309361092310283,1.6560645652704409,0.0,False
reliable,GCE,14,1,local,48,53,47,False,False,0.04463925669179339,1.371583668873758,4.349090098540799,False
reliable,GCE,14,1,posterior,46,50,43,False,False,0.09834911569831106,1.3715836688737468,51.7837281333633,False
reliable,GCE,14,1,fused,49,53,47,False,False,0.09834911569831106,23.590231317966904,200.14008298196336,False
reliable,GCE,14,1,target_local,26,30,25,False,False,0.04463925669179339,1.371583668873758,4.349090098540799,False
reliable,GCE,14,1,target_posterior,26,30,25,False,False,0.003314293057581446,1.3715836688737468,4.349090098540792,False
reliable,GCE,14,2,predicted,47,57,46,False,False,0.17309361092310283,1.6560645652704409,0.0,False
reliable,GCE,14,2,local,13,18,13,False,False,0.46328489675480106,0.3280614728461053,3.1889919262853716,False
reliable,GCE,14,2,posterior,46,50,41,False,False,0.09834911569831106,1.3715836688737468,4.349090098540792,False
reliable,GCE,14,2,fused,49,53,45,False,False,0.09834911569831106,19.084901152199393,13.061429300587655,False
reliable,GCE,14,2,target_local,1,1,1,True,False,0.0001250109939146234,0.3280614728461053,0.5171414881545946,False
reliable,GCE,14,2,target_posterior,26,30,25,False,False,0.003314293057581446,1.3715836688737468,4.349090098540792,False
reliable,GCE,15,1,predicted,55,59,52,False,False,0.09736562454132791,1.3715836688737468,0.0,False
reliable,GCE,15,1,local,49,51,47,False,False,0.023726200658849603,1.1443791301605302,2.7642519358095257,False
reliable,GCE,15,1,posterior,46,49,43,False,False,0.015467187024091111,1.1443791301605337,44.39079602685746,False
reliable,GCE,15,1,fused,49,51,47,False,False,0.015467187024091111,6.709958980962904,199.4558271891661,False
reliable,GCE,15,1,target_local,24,24,23,False,False,0.00830408839220001,1.1443791301605302,2.7642519358095257,False
reliable,GCE,15,1,target_posterior,24,24,23,False,False,0.0017185291503066871,1.1443791301605337,2.7642519358095257,False
reliable,GCE,15,2,predicted,46,50,41,False,False,0.09736562454132791,1.3715836688737468,0.0,False
reliable,GCE,15,2,local,12,13,9,False,False,0.2731106283573683,0.3023262026745259,1.666845732954819,False
reliable,GCE,15,2,posterior,46,49,41,False,False,0.015467187024091111,1.1443791301605337,2.7642519358095257,False
reliable,GCE,15,2,fused,49,51,42,False,False,0.015467187024091111,1.1443791301605337,12.298286433910269,False
reliable,GCE,15,2,target_local,1,1,1,True,False,0.0008379692171067363,0.3023262026745259,0.4455713739466969,False
reliable,GCE,15,2,target_posterior,24,24,23,False,False,0.0017185291503066871,1.1443791301605337,2.7642519358095257,False
reliable,GCE,16,1,predicted,55,58,52,False,False,0.015312515153850237,1.1443791301605337,0.0,False
reliable,GCE,16,1,local,52,52,49,False,False,0.011683881412299403,0.9406134694368165,1.6877906538524599,False
reliable,GCE,16,1,posterior,51,49,46,False,False,0.0842649906969748,0.9406134694368262,10.867905337363647,False
reliable,GCE,16,1,fused,52,52,49,False,False,0.0842649906969748,10.990204158799523,197.94475319060052,False
reliable,GCE,16,1,target_local,21,24,20,False,False,0.007371094695237723,0.9406134694368165,1.6877906538524599,False
reliable,GCE,16,1,target_posterior,21,24,20,False,False,0.003007012646925905,0.9406134694368262,1.6877906538524563,False
reliable,GCE,16,2,predicted,46,49,41,False,False,0.015312515153850237,1.1443791301605337,0.0,False
reliable,GCE,16,2,local,10,12,8,False,False,0.049977010084891194,0.2726104417614117,1.6738600577480227,False
reliable,GCE,16,2,posterior,51,49,45,False,False,0.0842649906969748,0.9406134694368262,1.6877906538524563,False
reliable,GCE,16,2,fused,52,52,45,False,False,0.0842649906969748,0.9406134694368262,1.6877906538524563,False
reliable,GCE,16,2,target_local,1,1,1,True,False,0.0017013438588036195,0.2726104417614117,0.3761741048264966,False
reliable,GCE,16,2,target_posterior,21,24,20,False,False,0.003007012646924781,0.9406134694368262,1.6877906538524563,False
reliable,GCE,17,1,predicted,62,60,57,False,False,0.0834223407900051,0.9406134694368262,0.0,False
reliable,GCE,17,1,local,59,59,56,False,False,0.1408372374758916,0.7817990206941621,2.609024109949871,False
reliable,GCE,17,1,posterior,58,58,54,False,False,0.3575988397916514,0.7817990206941658,31.728721815667228,False
reliable,GCE,17,1,fused,59,59,56,False,False,0.3575988397916514,0.7817990206941658,31.728721815667228,False
reliable,GCE,17,1,target_local,15,16,13,False,False,0.009943377763334649,0.7817990206941621,1.0789365662139403,False
reliable,GCE,17,1,target_posterior,15,16,13,False,False,0.004834156475476553,0.7817990206941658,1.0789365662139367,False
reliable,GCE,17,2,predicted,51,49,45,False,False,0.0834223407900051,0.9406134694368262,0.0,False
reliable,GCE,17,2,local,12,10,9,False,False,0.15642498806802407,0.23921519109218092,1.6777276207624023,False
reliable,GCE,17,2,posterior,58,58,53,False,False,0.3575988397916514,0.7817990206941658,2.609024109949871,False
reliable,GCE,17,2,fused,59,59,53,False,False,0.3575988397916514,0.7817990206941658,2.609024109949871,False
reliable,GCE,17,2,target_local,1,1,1,True,False,0.002976942520455536,0.23921519109218092,0.3169043830477065,False
reliable,GCE,17,2,target_posterior,15,16,13,False,False,0.004834156475478579,0.7817990206941658,1.0789365662139367,False
reliable,GCE,18,1,predicted,68,68,64,False,False,0.35402285139373485,0.7817990206941658,0.0,False
reliable,GCE,18,1,local,65,65,62,False,False,0.35402285139373485,2.1731731596806805,11.709187468717573,False
reliable,GCE,18,1,posterior,63,65,60,False,False,0.33095410469166187,2.800847626866134,31.592883483947446,False
reliable,GCE,18,1,fused,65,65,62,False,False,0.33095410469166187,4.169048328475074,31.592883483947446,False
reliable,GCE,18,1,target_local,10,10,10,True,False,0.011562365161757349,0.6276295890023686,0.717308652886036,False
reliable,GCE,18,1,target_posterior,10,10,10,True,False,0.0074580252915970036,0.6276295890023817,0.7173086528860377,False
reliable,GCE,18,2,predicted,58,58,53,False,False,0.35402285139373485,0.7817990206941658,0.0,False
reliable,GCE,18,2,local,13,13,11,False,False,0.08473805865618389,0.4989366621187834,1.677021275794834,False
reliable,GCE,18,2,posterior,63,65,59,False,False,0.33095410469166187,2.800847626866134,26.552764587360357,False
reliable,GCE,18,2,fused,65,65,60,False,False,0.33095410469166187,2.800847626866134,26.552764587360357,False
reliable,GCE,18,2,target_local,1,1,1,True,False,0.0047858149107237735,0.20341841720750908,0.2754546673142624,False
reliable,GCE,18,2,target_posterior,10,10,10,True,False,0.0074580252915970036,0.6276295890023817,0.7173086528860377,False
