frame,robot,phase,total_count,near_count,near_sum_r,near_max_r,near_birth_labels,near_labels_from_first_three_frames,near_label_age_sum,ancestry_roots,ancestry_memberships,repeated_roots,labels_with_shared_roots,pairs_with_shared_roots,maximum_root_multiplicity,condition,backend
56,2,local,14,1,0.010320979962013466,0.010320979962013466,0,1,53,1,1,0,0,0,1,reliable,GCE
56,1,posterior,140,22,0.10525745842010557,0.04385664506162759,2,1,153,22,22,0,0,0,1,reliable,GCE
56,2,posterior,140,22,0.10525745842010557,0.04385664506162759,2,1,153,22,22,0,0,0,1,reliable,GCE
57,1,local,146,28,0.5809773549370775,0.26152674121732805,2,1,212,28,28,0,0,0,1,reliable,GCE
57,2,local,13,1,0.004518368866267359,0.004518368866267359,0,1,54,1,1,0,0,0,1,reliable,GCE
57,1,posterior,144,28,0.10594776069983994,0.01443409714159892,2,1,212,28,28,0,0,0,1,reliable,GCE
57,2,posterior,144,28,0.10594776069983994,0.01443409714159892,2,1,212,28,28,0,0,0,1,reliable,GCE
58,1,local,150,33,0.4702089375885365,0.06559974627432896,1,1,285,33,33,0,0,0,1,reliable,GCE
58,2,local,13,1,0.0014475927902237032,0.0014475927902237032,0,1,55,1,1,0,0,0,1,reliable,GCE
58,1,posterior,148,33,0.11534293675136269,0.004393937535414277,1,1,285,33,33,0,0,0,1,reliable,GCE
58,2,posterior,148,33,0.11534293675136269,0.004393937535414277,1,1,285,33,33,0,0,0,1,reliable,GCE
59,1,local,154,129,1.8042302664606096,0.01602131272769069,1,5,3929,130,130,0,0,0,1,reliable,GCE
59,2,local,15,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
59,1,posterior,153,129,0.48147490756945577,0.004020903795809621,1,5,3929,130,130,0,0,0,1,reliable,GCE
59,2,posterior,153,129,0.48147490756945577,0.004020903795809621,1,5,3929,130,130,0,0,0,1,reliable,GCE
60,1,local,158,132,1.8240330837885115,0.014951904870516848,1,5,4063,133,133,0,0,0,1,reliable,GCE
60,2,local,15,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
60,1,posterior,158,132,0.48919193634387403,0.0038828197614391895,1,5,4063,133,133,0,0,0,1,reliable,GCE
60,2,posterior,158,132,0.48919193634387403,0.0038828197614391895,1,5,4063,133,133,0,0,0,1,reliable,GCE
61,1,local,155,130,1.7719250240685147,0.014626448096180739,1,5,4180,131,131,0,0,0,1,reliable,GCE
61,2,local,17,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
61,1,posterior,153,130,0.47905406560011465,0.0038398601057324216,1,5,4180,131,131,0,0,0,1,reliable,GCE
61,2,posterior,153,130,0.47905406560011465,0.0038398601057324216,1,5,4180,131,131,0,0,0,1,reliable,GCE
62,1,local,158,130,1.704890816524105,0.014029003309762495,1,5,4297,131,131,0,0,0,1,reliable,GCE
62,2,local,16,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
62,1,posterior,160,130,0.46969933855201096,0.003759782004566873,1,5,4297,131,131,0,0,0,1,reliable,GCE
62,2,posterior,160,130,0.46969933855201096,0.003759782004566873,1,5,4297,131,131,0,0,0,1,reliable,GCE
