scene,seed,arm,ospa,count_mae,gospa,loc2,miss2,false2,matched_rmse,reunion_ospa,post_departure_false2,worst_node,wire_bytes,raw_bytes,delivered_raw_bytes,matched_support,runtime_s
churn_departure,2910,local,7.5231111848331045,1.4260416666666667,10.023283913328418,12.755644755063859,103.8,1.125,2.706254823620938,8.6474705965839,4.5,10.28563358506766,0,0,0,1672,2.162979625
churn_departure,2910,fov,2.4275678447381654,0.378125,3.406075679116327,0.1432348774413866,24.375,3.45,0.22438775674418293,2.9067483284979887,13.8,4.207118377997311,26894336.0,2963168,2643680,2731,3.715602
churn_departure,2910,lineage,0.865023694959559,0.1125,1.2508304146488045,0.1771131380097405,4.575,3.525,0.2382662842286276,0.8530156702228823,14.1,2.072674278951739,26894336.0,2569544,2295640,2995,2.7356505416666668
churn_departure,2910,mil_support,4.043177038320537,0.428125,6.293523100744628,21.199863583217116,26.025,6.3,2.740928124574922,5.081542252247962,23.4,5.773627546303728,26894336.0,10243336,9117840,2709,4.349704291666667
churn_departure,2910,qualified_exist,0.7636260353648354,0.09479166666666666,1.112673372320947,0.17753418484853042,3.825,3.0,0.23815207704013877,0.7361813898462451,12.0,1.5528332546715513,26894336.0,2545240,2274752,3005,2.6910136666666666
churn_departure,2911,local,7.456868876657771,1.25625,9.996961106500672,7.4525177614241915,97.5,7.05,2.0184819521639037,8.115808225421137,28.2,9.1910899738652,0,0,0,1756,2.737504125
churn_departure,2911,fov,3.561614551263537,0.546875,4.8898522469726355,0.146604169373293,40.2,0.975,0.23632436899376688,4.27480766746482,3.9,5.190133887931336,26861568.0,2793816,2556336,2520,3.7039494583333332
churn_departure,2911,lineage,0.9459409164940232,0.10520833333333333,1.3059290782867805,0.20386294171519323,6.9,1.275,0.25696008084257227,0.9446836399489408,5.1,2.6927812453370636,26861568.0,2434856,2228792,2964,2.84546875
churn_departure,2911,mil_support,4.058029125809109,0.4510416666666667,6.189806139331066,17.28069813714061,28.35,5.475,2.488920198282498,4.96030525465409,21.3,5.4012435891788355,26861568.0,9973632,9152520,2678,4.540929916666666
churn_departure,2911,qualified_exist,0.750320000106828,0.084375,1.085683728531511,0.20535125768249254,3.15,2.925,0.25574825317692795,0.7694165905132094,11.7,1.408891133594435,26861568.0,2423768,2218600,3014,2.8253212083333334
churn_departure,2912,local,7.336720707700603,1.2958333333333334,9.55061255507015,1.856731864462765,98.025,4.725,1.0095208827662459,7.527558832718095,18.9,8.954651067264564,0,0,0,1749,2.1270307083333333
churn_departure,2912,fov,2.3307727160262295,0.36041666666666666,3.2391030112504984,0.15137069456852473,25.275,0.675,0.23118088107389448,2.1044497808242313,2.7,3.7415838514199518,26927104.0,2996160,2654472,2719,3.3166977083333333
churn_departure,2912,lineage,1.7656192744704595,0.2635416666666667,2.4978517455914204,0.1676204817627647,18.3,0.675,0.23921670310152804,1.7140326316357737,2.7,3.4954132157400646,26927104.0,2784928,2470680,2812,3.0474917083333333
churn_departure,2912,mil_support,5.027347236005403,0.6229166666666667,7.866745255545533,33.60784995403894,27.675,18.225,3.4651508690884216,6.367352414852399,71.7,6.4751467400286185,26927104.0,10477704,9307104,2687,4.482484333333334
churn_departure,2912,qualified_exist,1.114220636044639,0.15104166666666666,1.5913801294210903,0.17556091787181718,8.25,2.625,0.23918457393045817,1.1895006339222929,10.5,2.5980398270120686,26927104.0,2776696,2461888,2946,2.98162525
churn_departure,2913,local,7.438301594132763,1.2927083333333333,9.8589194728279,4.506653540204357,99.75,6.675,1.5832237889239493,8.086902041021975,20.7,9.108203290120732,0,0,0,1726,2.1415517916666666
churn_departure,2913,fov,3.4434759708189397,0.5260416666666666,4.6866569400573095,0.14270381052066014,37.575,1.65,0.2315570186296396,4.227180859878123,6.6,5.468717635136601,27254784.0,2930216,2671240,2555,3.2469429583333334
churn_departure,2913,lineage,1.186694855352306,0.14375,1.6108145690369966,0.1896480549254965,8.325,2.625,0.2486378051344914,1.3399698940817886,10.5,2.785884267676108,27254784.0,2528416,2302704,2945,2.752362
churn_departure,2913,mil_support,4.3772503362378625,0.428125,6.744509415251765,28.768355577422888,29.1,3.225,3.217364183881952,5.096519111115152,11.7,5.754699769875235,27254784.0,10259944,9363464,2668,4.32578225
churn_departure,2913,qualified_exist,0.9270530468705965,0.10833333333333334,1.312876092928031,0.19614719475690362,4.725,3.525,0.25082643685531913,1.077466901790983,14.1,2.1082160205014318,27254784.0,2509824,2286464,2993,2.7621321666666665
churn_departure,2914,local,7.584373067322466,1.4583333333333333,9.767137817722816,1.7864775044730365,105.45,0.45,1.0195121840917767,8.358684713683925,1.8,8.9499493048065,0,0,0,1650,2.126165916666667
churn_departure,2914,fov,3.030775766245391,0.4708333333333333,4.216294266345381,0.14160455308388586,33.45,1.65,0.22822014222721643,3.9470230059026186,6.6,4.236488116133336,27254784.0,2937440,2674584,2610,3.2556550833333335
churn_departure,2914,lineage,2.0437928716387708,0.2989583333333333,2.88861702580452,0.1655617194889216,18.825,4.2,0.23803956494140188,2.721995776730304,16.5,4.298945939757073,27254784.0,2678664,2441568,2805,2.9436519166666666
churn_departure,2914,mil_support,3.83284820327931,0.4125,5.830491169923224,15.001126043654542,27.9,3.45,2.316361248681234,4.53378429430422,12.9,5.25044151322225,27254784.0,10720768,9766872,2684,4.604809208333333
churn_departure,2914,qualified_exist,1.4300054125405903,0.20729166666666668,2.0317908706363377,0.17087902439154204,12.15,2.775,0.23808428540708534,1.5811604146289735,11.1,3.1190449464589673,27254784.0,2677992,2441680,2894,2.95852725
churn_departure,2915,local,6.511922175436075,1.1604166666666667,8.531433981389055,3.0466778310588527,84.0,0.45,1.2291254361191675,7.166394187663293,1.8,8.829767009382588,0,0,0,1936,2.3227693333333335
churn_departure,2915,fov,2.2143319760897886,0.34270833333333334,3.086985780538875,0.13993020424271738,23.25,1.425,0.2211775709033902,2.4944702044527234,5.7,4.00811336989884,26796032.0,2977536,2703856,2746,3.2371512916666667
churn_departure,2915,lineage,0.7707830087259928,0.09270833333333334,1.1286827194321623,0.17891789964095542,3.225,3.45,0.23876075652570417,0.7709467035434415,13.8,1.7077307369606403,26796032.0,2721840,2476440,3013,2.936581708333333
churn_departure,2915,mil_support,3.0069231845350397,0.37604166666666666,4.432785531986237,3.7560693344898075,24.075,4.5,1.1482164153244605,3.5058458798074255,16.5,4.4391158398020085,26796032.0,10223656,9302056,2735,4.453155875
churn_departure,2915,qualified_exist,0.6606416585754378,0.07395833333333333,0.9769466678520549,0.17895348331997532,3.075,2.25,0.23870528606300281,0.6026793840266299,9.0,1.2694782401538325,26796032.0,2703304,2460088,3015,2.981437458333333
churn_departure,2916,local,6.58491071651513,1.2208333333333334,8.611519156449065,2.712242450988688,88.2,0.3,1.1768495522325564,7.298292512181125,1.2,8.997005887189617,0,0,0,1880,2.2852305
churn_departure,2916,fov,2.3231926576101265,0.365625,3.2534088060353654,0.12880935491504608,25.5,0.825,0.21337544327602842,2.5656493261926365,3.3,3.5471489411543122,27156480.0,3013688,2681208,2716,3.3488046666666667
churn_departure,2916,lineage,0.5391566252392803,0.057291666666666664,0.8193187488867615,0.16009033693081015,2.475,1.65,0.22547536687997324,0.6559115307431618,6.6,0.8391266358707227,27156480.0,2630872,2336416,3023,2.8118159583333333
churn_departure,2916,mil_support,3.6627719007034187,0.4114583333333333,5.561075688985965,13.475296168577135,26.55,3.675,2.188074494453251,4.496894497954615,14.4,4.9595526931102665,27156480.0,10549048,9358592,2702,4.499813
churn_departure,2916,qualified_exist,0.533325147655563,0.05625,0.8111949944271847,0.16009036752610287,2.475,1.575,0.2254753884255726,0.6359178405307577,6.3,0.886551592045569,27156480.0,2624488,2330368,3023,2.8235908333333333
churn_departure,2917,local,7.203957800352568,1.3552083333333333,9.43898865639616,6.250351261769625,97.8,0.225,1.850635027888835,8.187079115741716,0.9,9.18265550741719,0,0,0,1752,2.1894099583333335
churn_departure,2917,fov,3.6156103727135886,0.553125,5.006295752790418,0.14055791120019642,41.025,1.2,0.23190650625061493,4.429501717054799,4.8,5.026168271906108,26894336.0,2922232,2669272,2509,3.2324007083333335
churn_departure,2917,lineage,1.163015840968315,0.13854166666666667,1.665987261999419,0.21278717140707445,9.6,1.875,0.26413308332588237,1.3699962531943297,7.5,2.952146751608083,26894336.0,2685184,2452888,2928,2.9682232083333333
churn_departure,2917,mil_support,4.012467899356527,0.509375,5.982970448994952,6.098724124800242,37.425,9.45,1.5131770532909459,5.0398731834420465,33.9,5.932727421875476,26894336.0,10360600,9442584,2557,4.368721416666666
churn_departure,2917,qualified_exist,0.5536589548817603,0.05416666666666667,0.8601043992697945,0.21833829646074912,2.625,1.275,0.263405726645478,0.5540591147685651,5.1,1.0464540208675928,26894336.0,2685912,2453448,3021,2.992521875
churn_departure,2918,local,7.856878293979487,1.4166666666666667,10.30830679902319,6.024574518160218,106.875,4.875,1.883093248451295,8.140169944095087,19.2,10.705809244947552,0,0,0,1631,2.178807791666667
churn_departure,2918,fov,2.6857496751661207,0.4197916666666667,3.736163978815172,0.15739104017199912,29.55,0.825,0.23824379245858332,2.5863517628684263,3.3,3.710274086437573,26927104.0,2984848,2705040,2662,3.3024159166666665
churn_departure,2918,lineage,0.7752436596631471,0.0875,1.114867556023453,0.1982021996809165,4.95,1.35,0.252263407281763,0.7957991785556633,5.4,1.8290033188067087,26927104.0,2784816,2523824,2990,3.024868375
churn_departure,2918,mil_support,4.521610935314281,0.44895833333333335,7.016228558158643,20.596505424905157,34.275,11.1,2.758222183659625,5.4892747458852655,43.8,5.801579375983734,26927104.0,10528608,9565768,2599,4.5041974583333335
churn_departure,2918,qualified_exist,0.8846870621405729,0.10625,1.2748359384046146,0.20192282183796464,2.925,4.725,0.25347822940517367,1.0368520087866624,18.9,1.7407231667287324,26927104.0,2680096,2428512,3017,2.904673416666667
churn_departure,2919,local,7.271155432041601,1.1802083333333333,9.769665726169107,10.450794163113374,91.125,6.15,2.3344435108779322,7.838688527406742,24.6,9.093737985433552,0,0,0,1841,2.2824674583333335
churn_departure,2919,fov,3.0748719739187123,0.4708333333333333,4.2140381898097266,0.14808316295843965,34.275,0.975,0.23387581709590793,3.743267084015231,3.9,5.313556233450226,27287552.0,2911184,2610288,2599,3.3427340416666667
churn_departure,2919,lineage,1.1963361473337348,0.14583333333333334,1.622518207411775,0.17572638814488103,8.55,2.7,0.23945988724619657,1.5390031231332073,10.8,3.0261739800265834,27287552.0,2655768,2377832,2942,2.9360612083333333
churn_departure,2919,mil_support,4.756500168670646,0.39479166666666665,7.665951092247465,35.97978711282318,30.675,9.6,3.612334347269123,5.80163327245015,38.1,6.584823827051707,27287552.0,10224560,9183232,2647,4.27188125
churn_departure,2919,qualified_exist,0.7672936721385314,0.08854166666666667,1.104980904037059,0.18676930389426355,3.45,2.925,0.24406478344442029,1.0004121326500859,11.7,1.4985115980935355,27287552.0,2639024,2362824,3010,2.91927075
churn_departure,2920,local,6.651934209714615,1.1427083333333334,8.756365265277937,5.33504614264774,83.4,1.125,1.623142226586222,7.393778805698493,4.5,8.821261424668732,0,0,0,1944,2.4330857083333335
churn_departure,2920,fov,2.0925018121856884,0.31666666666666665,2.8981894016214116,0.16953569930801438,21.075,1.725,0.24217800863975755,1.9723057674760618,6.9,3.7520825039886225,26959872.0,2991016,2662856,2775,3.356703791666667
churn_departure,2920,lineage,0.7754142848422068,0.0875,1.111458223413319,0.19502369522533736,3.525,2.775,0.24944121494446153,0.7897048348012446,11.1,1.5905620713468163,26959872.0,2840208,2531088,3009,3.0406345
churn_departure,2920,mil_support,4.254660960942855,0.38333333333333336,6.68759452728584,30.8121038292145,23.1,5.4,3.2808617373281033,5.249928458335383,20.7,5.701186364542761,26959872.0,9947560,8858192,2748,4.3857295
churn_departure,2920,qualified_exist,0.7640053656778603,0.08645833333333333,1.102511193059261,0.19515694410693302,3.375,2.85,0.24944352969698447,0.7723870406599165,11.4,1.5906818663451376,26959872.0,2774856,2472848,3011,3.0344697083333334
split_no_new,2901,local,5.705760463775467,0.559375,6.230738645950988,7.9582878593385855,42.45,2.175,2.3753964677189328,6.743761633759486,6.9,9.962154585231401,0,0,0,1354,1.7616351666666668
split_no_new,2901,fov,0.6845403924002518,0.04895833333333333,0.7983849381191005,0.22199733692423454,3.45,0.075,0.33722883762508893,2.86952489018224,0.0,1.4018202962174502,26206208.0,2329640,2098968,1874,2.7640002083333335
split_no_new,2901,lineage,0.8023388047723631,0.065625,0.9362390831858942,0.22222638697855804,3.675,1.05,0.33767315489988314,2.8696923840580455,1.2,1.8574386486655174,26206208.0,2278232,2051872,1871,2.7251081666666668
split_no_new,2901,mil_support,1.5379822436541528,0.030208333333333334,2.0712812204692392,5.252911290269728,2.7,0.675,1.6360448330283748,1.7497833239436609,2.1,2.744175712635218,26206208.0,8165400,7343368,1884,3.5853273333333333
split_no_new,2901,qualified_exist,0.6648190099559932,0.04895833333333333,0.8003199781412899,0.22331746227366545,2.475,1.05,0.337062943005918,1.9404494190922352,1.2,1.652465722902341,26206208.0,2324936,2093984,1887,2.718571
split_no_new,2902,local,7.08043957801849,0.8041666666666667,7.207209379662383,1.712594212625919,57.975,0.075,1.1972397941842938,7.963971951414512,0.0,8.726001354819884,0,0,0,1147,1.5238716666666667
split_no_new,2902,fov,0.8881916568424333,0.06354166666666666,1.0349791914015203,0.5958074046530519,4.575,0.0,0.5546881267422799,3.815374975075732,0.0,1.789917367462255,26173440.0,2300624,2042312,1859,2.9838946666666666
split_no_new,2902,lineage,0.8689236537996199,0.06041666666666667,1.0165634853649848,0.5978594209684375,4.35,0.0,0.5551947066217838,3.815653469347764,0.0,1.7620494871696704,26173440.0,2192936,1950024,1862,2.5455015833333334
split_no_new,2902,mil_support,3.1612705258480474,0.036458333333333336,4.345284552324263,24.78617843254638,3.975,1.5,3.5700002246931017,4.998350899559453,3.3,4.768822167120972,26173440.0,8083800,7209040,1867,3.397320375
split_no_new,2902,qualified_exist,0.662324405861846,0.035416666666666666,0.8122293275592035,0.5990891233093439,2.55,0.0,0.5522179123148038,2.166790795605813,0.0,1.3685592334083205,26173440.0,2201784,1958424,1886,2.4785675416666666
split_no_new,2903,local,7.565434322196944,0.8833333333333333,7.614755953449718,0.5903279224649346,63.675,0.075,0.7274238631769437,7.982586147848792,0.0,8.684313158600988,0,0,0,1071,1.51744475
split_no_new,2903,fov,0.780095039568554,0.057291666666666664,0.9040630544322958,0.32003799298282465,4.125,0.0,0.405879360609991,2.796853150340334,0.0,1.8008514815147478,26206208.0,2370800,2148696,1865,3.0397019166666666
split_no_new,2903,lineage,1.6525187772729817,0.18645833333333334,1.9777277297313587,0.3163069281625204,3.9,9.675,0.40318236945401564,2.795618751456866,34.8,3.332116353221234,26206208.0,2308752,2092976,1868,2.6825904583333333
split_no_new,2903,mil_support,2.4488683800423194,0.04375,3.3095497352347243,3.5903507070174574,12.375,9.225,1.4014109045874907,2.059674660790925,34.8,4.342455273375266,26206208.0,7899232,7150112,1755,3.411030333333333
split_no_new,2903,qualified_exist,1.294332989779298,0.13854166666666667,1.573000675848129,0.31794521615633115,2.55,7.425,0.4022915586357289,1.5624511217584716,26.1,3.0159994879169023,26206208.0,2309256,2092304,1886,2.60920425
split_no_new,2904,local,6.1279815785881055,0.68125,6.305624307470716,3.744490301184023,49.05,0.0,1.6850590271763342,7.1906557590053,0.0,8.942755691478565,0,0,0,1266,1.612510375
split_no_new,2904,fov,0.9205707329902045,0.06770833333333333,1.063999631016693,0.422133547388197,4.875,0.0,0.4673998764125228,4.061160902651561,0.0,1.7535099281242603,26173440.0,2305048,2089088,1855,2.834992166666667
split_no_new,2904,lineage,0.8661658267379001,0.06041666666666667,1.0126804254634798,0.4352423684367526,4.35,0.0,0.4737086996977411,4.062961691338917,0.0,1.6220775017660023,26173440.0,2273520,2063048,1862,2.68751
split_no_new,2904,mil_support,4.532722268273113,0.035416666666666666,6.285946767053444,28.327086293746422,15.225,12.675,3.9797099575889514,5.349149366295357,39.3,6.883860826130329,26173440.0,7843896,7146448,1717,3.3613267083333334
split_no_new,2904,qualified_exist,0.7793705412108712,0.05,0.9265341364248995,0.43484895607700175,3.6,0.0,0.47222819129619176,3.027312981334306,0.0,1.5603081729315995,26173440.0,2268144,2057728,1872,2.5423829583333335
split_no_new,2905,local,4.754871432707953,0.503125,4.973551517972271,2.3325513205384594,36.45,0.225,1.2496161942758497,5.118101853411603,0.0,8.69678314055875,0,0,0,1434,1.78449625
split_no_new,2905,fov,0.5248610817583931,0.030208333333333334,0.6361202927785873,0.19616461487058226,2.175,0.0,0.31557325330225117,1.7695177145799732,0.0,1.1837242451214616,26206208.0,2368840,2134600,1891,3.09549075
split_no_new,2905,lineage,0.43724139539100537,0.019791666666666666,0.5488107938845209,0.19471638027523486,1.425,0.0,0.31357815596277583,1.8714694980403146,0.0,0.9767071794665874,26206208.0,2326560,2099992,1901,2.6389997083333334
split_no_new,2905,mil_support,2.5511366683305443,0.020833333333333332,3.5346994028362047,18.452468929349024,1.725,0.225,3.055830015890516,2.8367491467879384,0.9,3.8455204714920654,26206208.0,8364424,7538712,1897,3.736915125
split_no_new,2905,qualified_exist,0.40332993420598456,0.015625,0.515493192930034,0.1956580347697648,1.125,0.0,0.31400529391777043,1.4645319637781316,0.0,0.9085832924306472,26206208.0,2322304,2095960,1905,2.6271499166666668
split_no_new,2906,local,4.762662084827801,0.5104166666666666,4.978601667453968,2.6628000676130417,37.05,0.3,1.3388907261287937,5.477194881297409,0.0,8.873350974488414,0,0,0,1426,1.7851060833333334
split_no_new,2906,fov,0.666915040166737,0.041666666666666664,0.805338026911062,0.40280569321001936,3.0,0.0,0.45352840435197933,2.272852206646737,0.0,1.3199026790463686,26206208.0,2427696,2222512,1880,3.0817015
split_no_new,2906,lineage,0.7053841898565623,0.04895833333333333,0.8780267648557271,0.4034344622227026,1.95,1.575,0.45220163273622827,2.2723590547200354,6.3,1.2634179890749742,26206208.0,2404904,2200560,1894,2.657234416666667
split_no_new,2906,mil_support,1.344151379610312,0.026041666666666668,1.813944874059637,4.395101740119895,2.175,0.45,1.4937376186096591,1.2588538990866498,1.5,2.700464082610156,26206208.0,8126312,7438184,1891,3.510591375
split_no_new,2906,qualified_exist,0.6364141384532652,0.040625,0.809767239472965,0.4033796006807491,1.35,1.575,0.4512189453261003,1.3457030686863864,6.3,1.2602935386148675,26206208.0,2399528,2195632,1902,2.644093125
split_no_new,2907,local,5.712719755299528,0.646875,5.946162942195056,3.1014146848720143,46.575,0.0,1.5139480064345572,6.8674784356306615,0.0,10.181257165947788,0,0,0,1299,1.726307
