sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,matched_rmse,raw_bytes,wire_bytes,delivered_raw_bytes,runtime_s,maximum_prefusion_bernoulli_count,observable_absences,total_weight_change
0003,reliable,local,198,7.85888133250079,18.646702652038677,17.62466523969496,306.0,76.0,3.926767676767677,6979.367434919208,2033,1.8528460758722414,0,0,0,2.424348541666667,71,0,0.0
0003,reliable,lineage,198,6.764673970308532,16.872110395080476,13.635836040560225,242.9090909090909,85.0909090909091,3.1616161616161618,5399.79107206184,2380,1.5062601960409243,5408608,8488448.0,5408608,10.613687583333334,129,3220,0.0
0003,reliable,qualified_exist,198,6.463879887487626,16.1948360384673,12.856196833214042,221.0909090909091,86.9090909090909,2.8434343434343434,5091.053945952757,2500,1.4270324377466348,5145696,8226304.0,5145696,10.312868166666666,118,3330,8033.687839894898
0003,reliable,mil_support,198,6.927949345727475,17.51699512868055,23.559502540685774,221.45454545454547,112.0,3.015151515151515,9329.563006111577,2498,1.9325664420368425,9040080,11732480.0,9040080,16.156856416666667,166,0,0.0
0003,reliable,tc_ospa2_w5,198,7.025456144773737,17.459684708088965,17.759043911887712,201.0909090909091,117.81818181818181,2.782828282828283,7032.58138910754,2610,1.641485798906147,1145392,6538752.0,1145392,1.5627952916666668,0,0,0.0
0003,reliable,tc_ospa2_w10,198,7.169621555282766,17.48514549119944,18.042068840997107,223.27272727272728,97.81818181818181,2.9343434343434343,7144.659261034853,2488,1.6945936424276267,2237808,6538752.0,2237808,2.1060813333333335,0,0,0.0
0003,intermittent,local,198,7.85888133250079,18.646702652038677,17.62466523969496,306.0,76.0,3.926767676767677,6979.367434919208,2033,1.8528460758722414,0,0,0,2.424348541666667,71,0,0.0
0003,intermittent,lineage,198,6.9941459257800815,17.193004752029584,13.37125904030073,249.0909090909091,87.0909090909091,3.1843434343434343,5295.018579959083,2346,1.5023452226196208,4494032,7177728.0,3200880,8.101874291666666,136,2693,0.0
0003,intermittent,qualified_exist,198,6.890350751056643,16.96893482200332,14.51154733319976,239.63636363636363,87.0909090909091,3.1035353535353534,5746.572743947106,2398,1.548031754165446,4190768,7112192.0,2932976,7.455402416666667,120,2462,3723.120586662351
0003,intermittent,mil_support,198,7.366859223333009,18.15003112084807,18.389845929777284,240.0,114.18181818181819,3.3333333333333335,7282.378988191805,2396,1.7433847047609934,7803520,10618368.0,5730992,12.79016825,150,0,0.0
0003,intermittent,tc_ospa2_w5,198,7.235567851403623,17.935808220667777,17.715305330740847,228.54545454545453,113.27272727272727,3.090909090909091,7015.260910973382,2459,1.6890505586693096,1145392,6538752.0,784072,1.0599761666666667,0,0,0.0
0003,intermittent,tc_ospa2_w10,198,7.3278065016860525,17.896801338654,18.327141047281753,244.72727272727272,95.81818181818181,3.1742424242424243,7257.547854723577,2370,1.7499304211271713,2237808,6538752.0,1527752,1.4252099166666667,0,0,0.0
0004,reliable,local,180,5.08318035065443,23.170265617401476,59.11800208970566,344.4,147.0,2.813888888888889,21282.48075229405,8074,1.6235540527608165,0,0,0,9.355478083333333,130,0,0.0
0004,reliable,lineage,180,5.19154009941821,24.64274730303865,62.905528654411484,318.0,233.2,2.3555555555555556,22645.990315588147,8206,1.6612305237335896,5689296,7910400.0,5689296,40.061766875,160,6186,0.0
0004,reliable,qualified_exist,180,5.158462418786463,24.516173557013545,63.042217307213285,315.6,229.6,2.3055555555555554,22695.198230596783,8218,1.6618197717660776,5675360,7894016.0,5675360,40.192893833333336,160,6296,994.1382915476302
0004,reliable,mil_support,180,4.806934302205865,22.982126017698203,62.50146997271802,283.6,192.0,1.8055555555555556,22500.5291901785,8378,1.6388008788815318,6234464,8680448.0,6234464,29.941102541666666,140,0,0.0
0004,reliable,tc_ospa2_w5,180,4.957348328107663,23.854791704389967,52.49096180294993,264.0,259.6,1.8944444444444444,18896.74624906198,8476,1.493131444721271,2149936,5944320.0,2149936,4.561643625,0,0,0.0
