condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_known_censor,103,1,266,9,275,270,5,True,270,6,264,6,0,-2
reliable,marked_gaussian_evidence_known_censor,103,2,221,1,222,17,205,True,270,201,69,6,58,-152
reliable,marked_gaussian_evidence_known_censor,104,1,264,11,275,273,2,True,273,1,272,1,0,8
reliable,marked_gaussian_evidence_known_censor,104,2,69,0,69,11,58,True,273,15,258,1,248,189
reliable,marked_gaussian_evidence_known_censor,105,1,272,11,283,277,6,True,277,3,274,3,0,2
reliable,marked_gaussian_evidence_known_censor,105,2,258,0,258,14,244,True,277,54,223,3,212,-35
reliable,marked_gaussian_evidence_known_censor,106,1,274,9,283,274,9,True,274,3,271,3,0,-3
reliable,marked_gaussian_evidence_known_censor,106,2,223,0,223,15,208,True,274,201,73,3,61,-150
reliable,marked_gaussian_evidence_known_censor,107,1,271,9,280,264,16,True,264,2,262,2,0,-9
reliable,marked_gaussian_evidence_known_censor,107,2,73,0,73,12,61,True,264,18,246,2,236,173
reliable,marked_gaussian_evidence_known_censor,108,1,262,9,271,266,5,True,266,2,264,2,0,2
reliable,marked_gaussian_evidence_known_censor,108,2,246,0,246,13,233,True,266,44,222,2,211,-24
reliable,marked_gaussian_evidence_known_censor,109,1,264,9,273,268,5,True,268,3,265,3,0,1
reliable,marked_gaussian_evidence_known_censor,109,2,222,0,222,13,209,True,268,196,72,3,62,-150
reliable,marked_gaussian_evidence_known_censor,110,1,265,9,274,271,3,True,271,1,270,1,0,5
reliable,marked_gaussian_evidence_known_censor,110,2,72,0,72,10,62,True,271,20,251,1,242,179
reliable,marked_gaussian_evidence_known_censor,111,1,270,9,279,275,4,True,275,5,270,5,0,0
reliable,marked_gaussian_evidence_known_censor,111,2,251,2,253,14,239,True,275,23,252,5,243,1
reliable,marked_gaussian_evidence_known_censor,112,1,270,10,280,279,1,True,279,2,277,2,0,7
reliable,marked_gaussian_evidence_known_censor,112,2,252,1,253,11,242,True,279,229,50,2,41,-202
